owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Government Accountability Office,Government Accountability Office,FY2019Q4,005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,58880644.62,8470925.58,599749653.00,0.00,0.00,35189515.93,35189515.93,702290739.13,642242633.49,8470925.58,60048105.64,633211129.56,702290739.13,2019-11-14
Legislative Branch Boards and Commissions,Department of State,FY2019Q4,009-0500,"International Conferences and Contingencies, House and Senate   Expenses",Legislative Branch Boards and Commissions,General Government,Legislative functions,1663227.47,2514.75,0.00,0.00,0.00,0.00,0.00,1665742.22,50000.00,2514.75,1615742.22,50000.00,1665742.22,2019-11-15
The Judicial Branch,Department of Justice,FY2019Q4,010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",The Judicial Branch,Administration of Justice,Federal litigative and judicial activities,23624416.52,17789134.40,518486000.00,0.00,0.00,0.00,0.00,559899550.92,533073727.02,13609436.76,26825823.90,491032820.94,559899550.92,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0001,"Compensation of the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,198656.12,-7084.63,450000.00,0.00,0.00,0.00,0.00,641571.49,458193.71,33333.33,183377.78,458193.71,641571.49,2019-11-14
Executive Office of the President,Executive Office of the President;General Services Administration,FY2019Q4,011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,675426.15,0.00,0.00,0.00,0.00,0.00,0.00,675426.15,287061.05,0.00,388365.10,374561.05,675426.15,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4849682.37,2510842.43,28500000.00,0.00,0.00,4641013.79,4641013.79,40501538.59,29015992.50,2510842.43,11485546.09,25825197.84,40501538.59,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0037,"Unanticipated Needs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4593282.70,-739159.00,1000000.00,0.00,0.00,0.00,0.00,4854123.70,326499.64,0.00,4527624.06,326499.64,4854123.70,2019-11-14
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0038,"Salaries and Expenses, Office of Administration, Executive",Executive Office of the President,General Government,Executive direction and management,21298452.37,1066285.44,100000000.00,0.00,0.00,6015911.83,6015911.83,128380649.64,101323321.92,1823635.38,27057327.72,104985276.28,128380649.64,2019-11-14
Department of State,Department of State,FY2019Q4,011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,100000000.60,0.00,0.00,0.00,0.00,0.00,0.00,100000000.60,0.00,0.00,100000000.60,0.00,100000000.60,2019-11-15
Executive Office of the President,Executive Office of the President,FY2019Q4,011-0048,National Space Council,Executive Office of the President,General Government,Executive direction and management,1662519.19,131.40,1965000.00,0.00,0.00,0.00,0.00,3627650.59,1201833.93,131.40,2425816.66,859801.61,3627650.59,2019-11-14
