owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Government Accountability Office,Government Accountability Office,FY2020P12,005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,60048105.64,10213209.43,650000000.00,0.00,0.00,30235268.00,30235268.00,750496583.07,663423914.60,10283822.83,87072668.47,661677037.17,750496583.07,2020-11-12
Legislative Branch Boards and Commissions,Department of State,FY2020P12,009-0500,"International Conferences and Contingencies, House and Senate   Expenses",Legislative Branch Boards and Commissions,General Government,Legislative functions,1615742.22,0.00,0.00,0.00,0.00,0.00,0.00,1615742.22,50000.00,0.00,1565742.22,50000.00,1615742.22,2021-07-19
The Judicial Branch,Department of Justice,FY2020P12,010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",The Judicial Branch,Administration of Justice,Federal litigative and judicial activities,26825823.90,22459807.16,547372000.00,0.00,0.00,0.00,0.00,596657631.06,546923588.08,12554175.82,49734042.98,493647438.18,596657631.06,2021-08-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0001,"Compensation of the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,183377.78,-40040.46,450000.00,0.00,0.00,0.00,0.00,593337.32,423733.47,0.00,169603.85,423733.47,593337.32,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,388365.10,498.80,0.00,0.00,0.00,0.00,0.00,388863.90,1518.27,498.80,387345.63,8705.31,388863.90,2020-11-13
Executive Office of the President,General Services Administration,FY2020P12,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-16
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,11485546.09,2147602.70,15000000.00,0.00,0.00,33714934.01,33714934.01,62348082.80,23306496.76,2147602.70,39041586.04,24672202.30,62348082.80,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0037,"Unanticipated Needs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4527624.06,-753309.42,1000000.00,0.00,0.00,0.00,0.00,4774314.64,0.00,46690.58,4774314.64,0.00,4774314.64,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0038,"Salaries and Expenses, Office of Administration, Executive",Executive Office of the President,General Government,Executive direction and management,27057327.72,4131951.95,94000000.00,0.00,0.00,4187995.65,4187995.65,129377275.32,102380462.43,5574617.16,26996812.89,101625997.06,129377275.32,2020-11-13
Department of State,Department of State,FY2020P12,011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,100000000.60,0.00,0.00,0.00,0.00,0.00,0.00,100000000.60,0.00,0.00,100000000.60,0.00,100000000.60,2021-07-19
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0048,National Space Council,Executive Office of the President,General Government,Executive direction and management,2425816.66,35201.06,1965000.00,0.00,0.00,30000.00,30000.00,4456017.72,1465139.31,35201.06,2990878.41,1540042.13,4456017.72,2020-11-13
Department of the Treasury,Department of the Treasury,FY2020P12,011-0071,"Contribution to the Strategic Climate Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-16
Department of the Treasury,Department of the Treasury,FY2020P12,011-0077,"Contribution to the International Bank for Reconstruction and Development, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-16
Department of the Treasury,Department of the Treasury,FY2020P12,011-0080,"Contribution to the Clean Technology Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-16
Peace Corps,Peace Corps,FY2020P12,011-0100,"Peace Corps, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,54466965.75,13245489.28,498500000.00,0.00,0.00,3044234.60,3044234.60,569256689.63,473213604.22,16180888.31,96043085.41,454221740.46,569256689.63,2020-11-10
Peace Corps,Peace Corps,FY2020P12,011-0101,"Foreign Currency Fluctuations, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,5000000.00,0.00,0.00,0.00,0.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,5000000.00,2020-11-10
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0108,"Presidential Transition Administrative Support, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,718975.05,123397.86,0.00,0.00,0.00,0.00,0.00,842372.91,0.00,123397.86,842372.91,0.00,842372.91,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0110,"Salaries and Expenses, the White House, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3852665.35,2678216.47,55000000.00,0.00,0.00,5079048.17,5079048.17,66609929.99,61553709.09,3082663.97,5056220.90,63634933.14,66609929.99,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,409290.38,-86508.27,302000.00,0.00,0.00,0.00,0.00,624782.11,214493.20,17868.19,410288.91,186238.51,624782.11,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,772076.80,6808058.62,101600000.00,0.00,0.00,573137.48,573137.48,109753272.90,107425745.41,7306511.08,2327527.49,107279907.13,109753272.90,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,14715895.48,3745862.40,104000000.00,0.00,0.00,-12152.89,-12152.89,122449604.99,62809939.45,4673277.14,59639665.54,58382907.15,122449604.99,2020-11-13
Department of the Treasury,Department of the Treasury,FY2020P12,011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,10000000.00,0.00,215000000.00,0.00,0.00,0.00,0.00,225000000.00,225000000.00,0.00,0.00,225000000.00,225000000.00,2020-11-16
Department of State,Department of State,FY2020P12,011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Executive Office of the President,International Affairs,International development and humanitarian assistance,1557476434.39,22202469.63,1391000000.00,0.00,0.00,27365742.43,27365742.43,2998044646.45,1553342857.07,79532461.78,1444701789.38,1211508872.90,2998044646.45,2021-07-19
Department of State,Department of State,FY2020P12,011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,288709198.05,14835606.00,457348000.00,0.00,0.00,0.00,0.00,760892804.05,478852384.11,64395256.90,282040419.94,608055456.23,760892804.05,2021-07-19
Department of State,Department of State,FY2020P12,011-1041,"Global Security Contingency Fund, State",Executive Office of the President,International Affairs,International security assistance,16870213.92,1814028.66,0.00,0.00,0.00,0.00,0.00,18684242.58,1089244.05,1814028.66,17594998.53,2270137.51,18684242.58,2021-07-19
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,15898822.15,9469892.09,264178588.00,0.00,0.00,0.00,0.00,289547302.24,283550119.98,9928071.18,5997182.26,252322214.56,289547302.24,2020-11-13
Department of State,Department of State,FY2020P12,011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,17391.19,10911.54,0.00,0.00,0.00,0.00,0.00,28302.73,0.00,10911.54,28302.73,6811.46,28302.73,2021-07-19
Department of State,Department of State,FY2020P12,011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Executive Office of the President,International Affairs,International security assistance,1056509385.40,58374172.24,895750000.00,0.00,0.00,32292016.88,32292016.88,2042925574.52,933925500.92,102585051.89,1109000073.60,759686757.64,2042925574.52,2021-07-19
Department of Defense,Department of State,FY2020P12,011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,359311.63,-5446.77,3780964.00,0.00,0.00,0.00,0.00,4134828.86,3642256.79,12537.06,492572.07,6687544.07,4134828.86,2021-07-19
Department of State,Department of State,FY2020P12,011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,2121973.85,18700000.00,0.00,0.00,0.00,0.00,0.00,20821973.85,20821973.85,18700000.00,0.00,18700000.00,20821973.85,2021-07-19
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,General Government,Executive direction and management,1027304.80,119851.09,2994000.00,0.00,0.00,0.00,0.00,4141155.89,2945620.53,144900.66,1195535.36,2639961.47,4141155.89,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,1288734.85,198482.35,4288000.00,0.00,0.00,541000.00,541000.00,6316217.20,4652179.24,397196.96,1664037.96,4459799.52,6316217.20,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,3355413.24,317580.18,18400000.00,0.00,0.00,2070000.00,2070000.00,24142993.42,22049465.14,1214954.76,2093528.28,22485995.96,24142993.42,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1460,"Other Federal Drug Control Programs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,47142812.82,39433705.07,121715000.00,0.00,0.00,0.00,0.00,208291517.89,128243102.63,39433705.07,80048415.26,93509887.65,208291517.89,2020-11-13
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,270060.59,0.00,0.00,0.00,0.00,0.00,0.00,270060.59,0.00,0.00,270060.59,120673.29,270060.59,2020-11-13
Executive Office of the President,Department of the Treasury,FY2020P12,011-1475,Global Agriculture and Food Security Program,Executive Office of the President,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-16
Executive Office of the President,Executive Office of the President,FY2020Q4,011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",Executive Office of the President,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,55000000.00,0.00,0.00,0.00,0.00,55000000.00,55000000.00,0.00,0.00,55000000.00,55000000.00,2020-11-13
