"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Abercrombie & Fitch Inc.","Abercrombie & Fitch","Abercrombie & Fitch","","$157,593","$0","$157,593","2015","20150625","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department reached an agreement with Abercrombie & Fitch Inc. resolving a complaint filed with the Office of Special Counsel for Immigration-Related Unfair Employment Practices claiming that the company discriminated against a non-U.S. citizen in violation of the Immigration and Nationality Act.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","USA","Ohio","publicly traded","ANF","US0028962076","retailing","retail-apparel","https://www.justice.gov/opa/pr/justice-department-settles-immigration-related-discrimination-claim-against-abercrombie-fitch","",""
"Advantage Home Care LLC","","","","$48,208","$0","$48,208","2012","20121025","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department announced an agreement with Advantage Home Care LLC, a home health care provider based in Hackensack, N.J., resolving claims that the company violated the anti-discrimination provision of the Immigration and Nationality Act when it required newly-hired lawful permanent residents to provide more or different documents during the Form I-9 employment eligibility verification process.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-settles-discrimination-claim-against-new-jersey-company","",""
"AIG Federal Savings Bank and Wilmington Finance Inc.","American International Group","American International Group","","$6,100,000","$0","$6,100,000","2010","20100304","consumer-protection-related offenses","discriminatory practices (non-employment)","","Two subsidiaries of American International Group Inc. agreed to pay a minimum of $6.1 million to resolve allegations that they engaged in a pattern or practice of discrimination against African American borrowers.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: AIG","US0268747849","financial services","insurance","https://www.justice.gov/opa/pr/financial-fraud-enforcement-task-force-announces-settlement-aig-subsidiaries-resolve","",""
"American Cleaning Company","","","","$195,000","$0","$195,000","2016","20161017","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department reached a settlement with American Cleaning Company resolving claims that the company discriminated against work-authorized non-U.S. citizens in violation of the Immigration and Nationality Act. ","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","Brighton","Massachusetts","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-settles-immigration-related-discrimination-claim-against-american-cleaning","",""
"Auto Fare Inc. and Southeastern Auto Corp.","","","","$225,000","$0","$225,000","2015","20150210","consumer-protection-related offenses","consumer protection violation","","The U.S. Department of Justice Civil Rights Division, the U.S. Attorney's Office for the Western District of North Carolina and the North Carolina Department of Justice announced a settlement of the federal government's first-ever discrimination lawsuit involving  ""buy here, pay here"" auto lending.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/us-justice-department-and-north-carolina-attorney-general-reach-settlement-resolve","",""
"Autobuses Ejecutivos LLC dba Omnibus Express","","","","$245,800","$0","$245,800","2014","20140926","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department reached a settlement with Autobuses Ejecutivos LLC, doing business as Omnibus Express, a bus company based in Houston, resolving a lawsuit filed in August 2013 by the department under the Immigration and Nationality Act's antidiscrimination provision.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-settles-lawsuit-against-texas-bus-company-discriminating-against-us","",""
"Autobuses Ejecutivos LLC dba Omnibus Express","","","","$55,000","$0","$55,000","2011","20110309","consumer-protection-related offenses","Americans with Disabilities Act","","A Houston bus company was fined $55,000 for violating passenger carrier accessibility requirements under the Americans with Disabilities Act.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-fines-houston-bus-company-55000-violating-ada","",""
"Avant Healthcare Professionals LLC","","","","$27,750","$0","$27,750","2013","20130208","consumer-protection-related offenses","discriminatory practices (non-employment)","employment discrimination","The Justice Department reached a settlement with Avant Healthcare Professionals LLC, a healthcare staffing company based in Casselberry, Fla. , resolving allegations that the company posted discriminatory job advertisements on the internet.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-reaches-settlement-avant-healthcare-professionals-llc-resolve-immigration","",""
"BAE Systems Ship Repair Inc.","BAE Systems","BAE Systems","","$53,900","$0","$53,900","2011","20111228","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department reached a settlement with BAE Systems Ship Repair Inc., a leading provider of ship repair services, to settle allegations that its subsidiary, BAE Systems Southeast Shipyards Alabama LLC, engaged in a pattern or practice of discrimination by imposing unnecessary and additional documentary requirements on work-authorized non-U.S. citizens when establishing their eligibility to work in the United States.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BA","GB0002634946","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/opa/pr/justice-department-reaches-settlement-virginia-based-bae-systems-ship-repair-inc","",""
"Bank of America N.A.","Bank of America","Bank of America","","$370,000,000","$0","$370,000,000","2012","20120913","financial offenses","banking violation","discriminatory practices (non-employment)","Bank of America N.A. agreed to maintain revised policies, conduct employee training and pay compensation to victims to resolve allegations that it engaged in a pattern or practice of discrimination on the basis of disability and receipt of public assistance in violation of the Fair Housing Act and the Equal Credit Opportunity Act.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://www.justice.gov/opa/pr/justice-department-reaches-settlement-bank-americato-resolve-allegations-discrimination","",""
"Barrios Street Realty","","","","$145,000","$0","$145,000","2016","20160321","employment-related offenses","employment discrimination","national origin discrimination","The Justice Department reached an agreement with Barrios Street Realty Inc. resolving claims that the company and its agent, Jorge Arturo Guerrero Rodriguez, discriminated against U.S. workers by preferring to hire foreign workers under the H-2B visa program.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","Lockport","Louisiana","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-settles-claims-against-barrios-street-realty-inc-discriminating-against-us","",""
"B.C. Enterprises Inc. d/b/a Aristocrat Towing and Aristocrat Towing Inc.","","","","$75,000","$0","$75,000","2012","20120501","consumer-protection-related offenses","consumer protection violation","Servicemembers Civil Relief Act","The Justice Department reached a settlement of alleged violations of the Servicemembers Civil Relief Act providing damages and credit repair to 26 servicemembers whose cars were towed and sold while they were on active duty without obtaining court orders as SCRA requires.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-settles-towing-company-case-under-servicemembers-civil-relief-act","",""
"Bland Farms","","","","$77,000","$0","$77,000","2001","20011220","employment-related offenses","employment discrimination","national origin discrimination","Bland Farms in Reidsville, Georgia, the country's largest grower and shipper of Vidalia onions, agreed to pay approximately $62,000 in back pay to to settle complaints of workplace discrimination against U.S. citizens. As part of the settlement agreement, Bland Farms also agreed to pay $15,000 in civil penalties to the government. ","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","Reidsville","Georgia","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2001/December/01_crt_657.htm","",""
