"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"ABB Middle East & Africa Participations AG","ABB Ltd.","ABB Ltd.","","$53,000,000","$0","$53,000,000","2001","20010412","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","ABB Middle East &Africa Participations AG, a Milan-based, Swiss subsidiary of ABB Asea Brown Boveri Ltd., pleaded guilty and was sentenced to pay a $53 million fine for participating in a conspiracy to rig bids on a construction contract funded by the United States Agency for International Development in Egypt.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Switzerland","","publicly traded","ABB","CH0012221716","utilities and power generation","power systems","https://www.justice.gov/archive/atr/public/press_releases/2001/7984.htm","",""
"Air France-KLM","Air France-KLM","Air France-KLM","","$350,000,000","$0","$350,000,000","2008","20080626","competition-related offenses","price-fixing or anti-competitive practices","","A group of major international airlines agreed to each plead guilty and pay criminal fines totaling $504 million for participating in a multi-year conspiracy to fix prices for air cargo rates.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","France","","publicly traded","","FR0000031122","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2008/234435.htm","",""
"Air Van Lines International Inc.","","","","$143,040","$0","$143,040","2007","20070731","competition-related offenses","fraud","","A Kirkland, Wash.-based freight forwarder involved in the military's program for shipping household goods of military and civilian Department of Defense personnel between the U.S. and foreign countries pleaded guilty to criminal offenses related to its participation in that program.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2007/224888.htm","",""
"Aisan Industry Co. Ltd.","Aisan Industry Co.","Aisan Industry Co.","","$6,860,000","$0","$6,860,000","2014","20140203","competition-related offenses","price-fixing or anti-competitive practices","","Aisan Industry Co. Ltd., an Obu, Japan-based company, agreed to plead guilty and to pay a criminal fine of $6.86 million for its role in a price-fixing conspiracy involving electronic throttle bodies sold in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3101600009","automotive parts","automotive parts","https://www.justice.gov/atr/pr/aisan-industry-co-ltd-agrees-plead-guilty-price-fixing-automobile-parts-installed-us-cars","",""
"Aisin Seiki Co. Ltd.","Aisin Corp.","Aisin Corp.","Aisin Seiki changed its name to Aisin Corp. in 2021","$35,800,000","$0","$35,800,000","2014","20141113","competition-related offenses","price-fixing or anti-competitive practices","","Aisin Seiki Co. Ltd., an automotive parts manufacturer based in Kariya, Japan, has agreed to plead guilty and to pay a $35.8 million criminal fine for its role in a conspiracy to allocate customers of variable valve timing (VVT) devices sold to automobile manufacturers in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3102000001","automotive parts","automotive parts","https://www.justice.gov/opa/pr/aisin-seiki-co-ltd-agrees-plead-guilty-customer-allocation-automobile-parts-installed-us-cars","",""
"Ajinomoto Co. Inc.","Ajinomoto","Ajinomoto","","$6,000,000","$0","$6,000,000","2001","20010827","competition-related offenses","price-fixing or anti-competitive practices","","Two Japanese corporations, Ajinomoto Co. Inc. and Daesang Japan Inc., and one Korean corporation, Cheil Jedang Corporation, agreed to plead guilty and pay criminal fines totaling more than $9 million for participating in a worldwide conspiracy to fix the prices of, and allocate customers for nucleotides, a food flavor enhancer.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3119600009","food products","food products","https://www.justice.gov/archive/atr/public/press_releases/2001/8918.htm","",""
"Akzo Nobel Chemicals BV","Carlyle Group","Akzo Nobel","Akzo spun off its chemical business as Nouryon in 2018; Nouryon is owned by the Carlyle Group","$12,000,000","$0","$12,000,000","2001","20010627","competition-related offenses","price-fixing or anti-competitive practices","","Dutch chemical giant, Akzo Nobel Chemicals BV, agreed to plead guilty and pay a $12 million criminal fine for participating in an international conspiracy to fix prices and allocate market shares of monochloroacetic acid (referred to as MCAA).","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","USA","District of Columbia","publicly traded","CG","US14316J1088","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/atr/public/press_releases/2001/8468.htm","",""
"Akzo Nobel Chemicals International B.V.","Carlyle Group","Akzo Nobel","Akzo spun off its chemical business as Nouryon in 2018; Nouryon is owned by the Carlyle Group","$32,000,000","$0","$32,000,000","2006","20060314","competition-related offenses","price-fixing or anti-competitive practices","","Solvay S.A., a Belgian company, and Akzo Nobel Chemicals International B.V., a Dutch company, agreed to plead guilty and to pay a total of more than $72 million in criminal fines for their participation in international price-fixing cartels in the chemicals industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","USA","District of Columbia","publicly traded","CG","US14316J1088","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/atr/public/press_releases/2006/215056.htm","",""
"All Nippon Airways Co. Ltd. (ANA)","All Nippon Airways (ANA)","All Nippon Airways (ANA)","","$73,000,000","$0","$73,000,000","2010","20101101","competition-related offenses","price-fixing or anti-competitive practices","","All Nippon Airways Co. Ltd. (ANA) agreed to plead guilty and to pay a $73 million criminal fine for its role in two separate conspiracies to fix prices in the air transportation industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3429800000","airlines","airlines","https://www.justice.gov/opa/pr/all-nippon-airways-co-ltd-agrees-plead-guilty-price-fixing-air-cargo-and-air-passenger","",""
"Alliance Mechanical LLC","","","","$55,000","$0","$55,000","2008","20080306","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","An Arizona commercial refrigeration company and one of its executives pleaded guilty for their role in a conspiracy to rig bids on contracts for the installation of commercial refrigeration equipment in Safeway Inc. grocery stores in the Phoenix metropolitan area.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2008/230855.htm","",""
"Allied Freight Forwarding Inc","","","","$1,043,000","$0","$1,043,000","2006","20060224","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","Allied Freight Forwarding Inc. agreed to plead guilty and pay a criminal fine of $1.043 million for its role in two separate bid-rigging conspiracies in connection with a Department of Defense program to transport the household goods of military and civilian DOD personnel between Europe and the United States and between the mainland United States and Hawaii.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2006/214769.htm","",""
"Allied Waste Industries Inc.","Republic Services","Allied Waste Industries","Republic Services and Allied Waste merged in 2008","$125,000","$0","$125,000","2007","20070508","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Allied Waste Industries Inc. agreed to pay $125,000 as part of a civil settlement with the Department of Justice that resolved Allied's alleged violations of a 2000 consent decree entered in connection with Allied's acquisition of Browning-Ferris Industries Inc. ","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","USA","Arizona","publicly traded","RSG","US7607591002","waste management and environmental services","waste management","https://www.justice.gov/archive/atr/public/press_releases/2007/223119.htm","",""
"ALLTEL Corporation","Verizon Communications","Verizon Communications","","$1,325,000","$0","$1,325,000","2007","20071203","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","ALLTEL Corporation agreed to pay $1.325 million as part of a civil settlement with the Department of Justice and the state of Minnesota that resolved ALLTEL's alleged violations of two court orders entered in connection with ALLTEL's acquisition of Midwest Wireless Holdings LLC.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","VZ","US92343V1044","telecommunications","telecommunications","https://www.justice.gov/archive/atr/public/press_releases/2007/228160.htm","",""
"Alpha Corporation","","","","$9,000,000","$0","$9,000,000","2016","20160915","competition-related offenses","price-fixing or anti-competitive practices","","Alpha Corporation agreed to plead guilty and to pay a $9 million criminal fine for its role in a price-fixing and bid-rigging conspiracy involving automotive access mechanisms for installation in cars manufactured and sold in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/alpha-corporation-agrees-plead-guilty-price-fixing-and-bid-rigging-conspiracy","",""
"American Airlines Inc.","American Airlines","American Airlines","","$3,000,000","$0","$3,000,000","2004","20040806","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","The Department of Justice announced a settlement with American Airlines Inc. resolving the government's concerns regarding American's alleged violations of a 1994 consent decree. American agreed to pay a $3 million civil penalty, which included reimbursement to the government for its investigation.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","USA","Texas","publicly traded","AAL","US02376R1023","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2004/204933.htm","",""
"Anchor Industrial Products Inc.","","","","$600,000","$0","$600,000","2001","20010315","competition-related offenses","price-fixing or anti-competitive practices","","An Ohio company agreed to plead guilty and pay a fine of $600,000 for its role in an international conspiracy to fix the price of a carbon product known for its strength and resistance to heat and chemical reaction. ","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2001/7676.htm","",""
"Arctic Glacier International Inc.","Carlyle Group","Arctic Glacier International Inc.","In 2012 Arctic Glacier was bought by H.I.G. Capital, which sold it to Caryle Group in 2017","$9,000,000","$0","$9,000,000","2009","20091013","competition-related offenses","price-fixing or anti-competitive practices","","A packaged-ice company, headquartered in St. Paul, Minn., agreed to plead guilty and to pay a $9 million criminal fine for allocating customers. In addition, three of the company's former executives pleaded guilty for their roles in the conspiracy to allocate customers.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","USA","District of Columbia","publicly traded","CG","US14316J1088","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/opa/pr/minneapolis-packaged-ice-company-agrees-plead-guilty-customer-allocation-conspiracy","",""
"Arteva Specialties, S.a.r.l., d/b/a KoSa","Koch Industries","Koch Industries","","$28,500,000","$0","$28,500,000","2002","20021031","competition-related offenses","price-fixing or anti-competitive practices","","A Luxembourg-based manufacturer of polyester staple and its former U.S. director of textile staples agreed to plead guilty for participating in a conspiracy to fix prices and allocate customers in the market for polyester staple, a petroleum-derived fiber used to make products such as clothing, table linens, and upholsteries.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","USA","Kansas","privately held","","","diversified","diversified","https://www.justice.gov/archive/atr/public/press_releases/2002/200413.htm","",""
"AU Optronics Corporation","AU Optronics","AU Optronics","","$500,000,000","$0","$500,000,000","2012","20120920","competition-related offenses","price-fixing or anti-competitive practices","","AU Optronics Corporation, a Taiwan-based liquid crystal display (LCD) producer, was sentenced in U.S. District Court in San Francisco to pay a $500 million criminal fine for its participation in a five-year conspiracy to fix the prices of thin-film transistor LCD panels sold worldwide.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Taiwan","","publicly traded","","TW0002409000","electrical and electronic equipment","electronic components","https://www.justice.gov/opa/pr/taiwan-based-au-optronics-corporation-sentenced-pay-500-million-criminal-fine-role-lcd-price","",""
"Autoliv Inc.","Autoliv Inc.","Autoliv Inc.","","$14,500,000","$0","$14,500,000","2012","20120606","competition-related offenses","price-fixing or anti-competitive practices","","Stockholm-based Autoliv Inc. agreed to plead guilty for its role in a conspiracy to fix prices of seatbelts, airbags and steering wheels installed in U.S. cars to one automobile manufacturer and a separate conspiracy to fix prices of seatbelts to another.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Sweden","","publicly traded","ALV","US0528001094","automotive parts","automotive parts","https://www.justice.gov/opa/pr/autoliv-inc-and-yazaki-corp-executive-agree-plead-guilty-price-fixing-automobile-parts","",""
"Bank of America","Bank of America","Bank of America","","$137,300,000","$0","$137,300,000","2010","20101207","competition-related offenses","price-fixing or anti-competitive practices","","Bank of America entities agreed to pay a total of $137.3 million in restitution to federal and state agencies for participation in a conspiracy to rig bids in the municipal bond derivatives market and as a condition of admission into the Department of Justice's Antitrust Corporate Leniency Program.","federal","agency action","Justice Department Antitrust Division","civil and criminal","non-prosecution agreement","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://www.justice.gov/opa/pr/bank-america-agrees-pay-1373-million-restitution-federal-and-state-agencies-condition-justice","",""
"BAX Global Inc.","Deutsche Bahn","Deutsche Bahn","","$19,745,927","$0","$19,745,927","2010","20100930","competition-related offenses","price-fixing or anti-competitive practices","","Six international freight forwarders agreed to plead guilty and to pay criminal fines totaling $50.27 million for their roles in several conspiracies to fix a variety of fees and charges in connection with the provision of freight forwarding services for international air cargo shipments.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Germany","","government-owned","","","freight and logistics","railroads and logistics","https://www.justice.gov/opa/pr/six-international-freight-forwarding-companies-agree-plead-guilty-criminal-price-fixing","",""
"Bay Metal Inc.","","","","$850,000","$0","$850,000","2000","20000328","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","A Richfield, Ohio industrial scrap metal dealer agreed to plead guilty and pay a $850,000 criminal fine for participating in a conspiracy to allocate scrap metal suppliers and rig bids to certain scrap metal suppliers in Cleveland and other parts of Northeast Ohio.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2000/4432.htm","",""
"Bayer Corporation","Bayer","Bayer","","$33,000,000","$0","$33,000,000","2004","20040930","competition-related offenses","price-fixing or anti-competitive practices","","Bayer Corporation, the Pittsburgh subsidiary of German firm Bayer AG, agreed to plead guilty and to pay a $33 million criminal fine for participating in a conspiracy to fix prices of a chemical used in a number of consumer products, including plastic grocery bags, shoe soles and automotive parts.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Germany","","publicly traded","","DE000BAY0017","chemicals","chemicals","https://www.justice.gov/archive/atr/public/press_releases/2004/205621.htm","",""
"Bayer AG","Bayer","Bayer","","$66,000,000","$0","$66,000,000","2004","20040714","competition-related offenses","price-fixing or anti-competitive practices","","Bayer AG, a German manufacturer of rubber chemicals, agreed to plead guilty and pay a $66 million fine for participating in an international conspiracy to fix prices in the rubber chemicals market.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Germany","","publicly traded","","DE000BAY0017","chemicals","chemicals","https://www.justice.gov/archive/atr/public/press_releases/2004/204602.htm","",""
"Bayer AG","Bayer","Bayer","","$4,700,000","$0","$4,700,000","2004","20041013","competition-related offenses","price-fixing or anti-competitive practices","","Bayer AG agreed to plead guilty and to pay a $4.7 million criminal fine for participating in a conspiracy to fix the prices of synthetic rubber which is used to manufacture a variety of products including automotive parts.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Germany","","publicly traded","","DE000BAY0017","chemicals","chemicals","https://www.justice.gov/archive/atr/public/press_releases/2004/205797.htm","",""
"Bennett Environmental Inc.","","","","$1,000,000","$0","$1,000,000","2008","20080731","competition-related offenses","fraud","kickbacks and bribery","Bennett Environmental Inc., a Canada-based company that treats and disposes of contaminated soils, pleaded guilty and agreed to pay a $1 million criminal fine for participating in a conspiracy to defraud the U.S. Environmental Protection Agency at a New Jersey Superfund site. ","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2008/235656.htm","",""
"Berkshire Hathaway Inc.","Berkshire Hathaway","Berkshire Hathaway","","$896,000","$0","$896,000","2014","20140820","financial offenses","investor protection violation","premerger notification violation","Berkshire Hathaway Inc. agreed to pay an $896,000 civil penalty to settle charges that it violated premerger reporting and waiting requirements when it acquired voting securities of USG Corp.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","USA","Nebraska","publicly traded","NYSE: BRK.B","US0846707026","diversified","diversified","https://www.justice.gov/opa/pr/berkshire-hathaway-pay-896000-civil-penalty-violating-antitrust-premerger-notification","",""
"Biglari Holdings Inc.","Biglari Holdings","Biglari Holdings","","$850,000","$0","$850,000","2012","20120925","financial offenses","investor protection violation","premerger notification violation","San Antonio-based Biglari Holdings Inc. agreed to pay an $850,000 civil penalty to settle charges that it violated premerger reporting and waiting requirements when it acquired Cracker Barrel voting securities.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","USA","Texas","publicly traded","BH","US08986R3093","diversified","diversified","https://www.justice.gov/opa/pr/biglari-holdings-inc-pay-850000-civil-penalty-violating-antitrust-premerger-notification","",""
"Bridgestone Corp.","Bridgestone","Bridgestone","","$425,000,000","$0","$425,000,000","2014","20140213","competition-related offenses","price-fixing or anti-competitive practices","","Bridgestone Corp., a Tokyo, Japan-based company, agreed to plead guilty and to pay a $425 million criminal fine for its role in a conspiracy to fix prices of automotive anti-vibration rubber parts installed in cars sold in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3830800003","automotive parts","automotive parts-tires","https://www.justice.gov/opa/pr/bridgestone-corp-agrees-plead-guilty-price-fixing-automobile-parts-installed-us-cars","",""
"Bridgestone Corp.","Bridgestone","Bridgestone","","$28,000,000","$0","$28,000,000","2011","20110915","competition-related offenses","price-fixing or anti-competitive practices","Foreign Corrupt Practices Act","Bridgestone Corporation agreed to plead guilty and to pay a $28 million criminal fine for its role in conspiracies to rig bids and to make corrupt payments to foreign government officials in Latin America related to the sale of marine hose and other industrial products manufactured by the company and sold throughout the world.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3830800003","automotive parts","automotive parts-tires","https://www.justice.gov/opa/pr/bridgestone-corporation-agrees-plead-guilty-participating-conspiracies-rig-bids-and-bribe","",""
"Bristol-Myers Squibb","Bristol-Myers Squibb","Bristol-Myers Squibb","","$1,000,000","$0","$1,000,000","2007","20070530","safety-related offenses","drug or medical equipment safety violation","","Bristol-Myers Squibb Company agreed to plead guilty and pay a $1 million criminal fine for lying to the federal government about a patent deal involving a popular blood-thinning drug. The company's actions allegedly  threatened to reduce competition for the drug Plavix that could have reduced the cost of blood-thinning drugs sold to heart attack, stroke and other patients.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","USA","New York","publicly traded","BMY","US1101221083","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/atr/public/press_releases/2007/223634.htm","",""
"British Airways PLC","International Airlines Group","British Airways","British Airways merged with Iberia Airlines to form International Airlines Group in 2011.","$300,000,000","$0","$300,000,000","2007","20070801","competition-related offenses","price-fixing or anti-competitive practices","","U.K.-based British Airways PLC and South Korean-based Korean Air Lines Co. Ltd. each agreed to plead guilty and pay separate $300 million criminal fines for their roles in conspiracies to fix the prices of passenger and cargo flights.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: IAG","ES0177542018","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2007/224928.htm","",""
"Bumble Bee Foods LLC","FCF Co.","Lion Capital","FCF acquired Bumble Bee in 2020.","$25,000,000","$0","$25,000,000","2017","20170508","competition-related offenses","price-fixing or anti-competitive practices","","To settle charges of fixing prices of shelf-stable tuna fish from as early as the first quarter of 2011 through at least as late as the fourth quarter of 2013 Bumble Bee agreed to pay a $25 million criminal fine, which would increase to a maximum criminal fine of $81.5 million, payable by a related entity, in the event of a sale of Bumble Bee subject to certain terms and conditions.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Taiwan","","privately held","","","food products","seafood","https://www.justice.gov/opa/pr/bumble-bee-agrees-plead-guilty-price-fixing","",""
"Caledonia Investments","","","","$480,000","$0","$480,000","2016","20160810","financial offenses","investor protection violation","premerger notification violation","The Justice Department's Antitrust Division, at the request of the Federal Trade Commission, filed a civil antitrust lawsuit in U.S. District Court in Washington, D.C. against Caledonia Investments plc for violating the premerger notification and waiting period requirements of the Hart-Scott-Rodino Act of 1976 when it acquired voting securities of Bristow Group Inc. in February 2014.  At the same time, the department filed a proposed settlement, subject to approval by the court, under which Caledonia Investments has agreed to pay a $480,000 civil penalty to resolve the lawsuit.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/caledonia-investments-pay-480000-civil-penalty-violating-antitrust-premerger-notification","",""
"Carbone of America Industries Corp.","","","","$7,150,000","$0","$7,150,000","2000","20000313","competition-related offenses","price-fixing or anti-competitive practices","","A Parsippany, New Jersey manufacturer of isostatic graphite, and its President and Chief Executive Officer agreed to plead guilty and pay fines totaling more than $7.15 million for participating in an international cartel to fix the price of non-machined and semi-machined isostatic graphite sold in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2000/4316.htm","",""
"Cartwright International Van Lines Inc.","","","","$250,000","$0","$250,000","2004","20040429","competition-related offenses","price-fixing or anti-competitive practices","","Cartwright International Van Lines Inc. pleaded guilty and was sentenced to pay a $250,000 fine for conspiring to increase the rates paid by the Department of Defense for the transportation of military and civilian DOD household goods.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2004/203533.htm","",""
"Cathay Pacific Airways Limited","Cathay Pacific Airways","Cathay Pacific Airways","","$60,000,000","$0","$60,000,000","2008","20080626","competition-related offenses","price-fixing or anti-competitive practices","","A group of major international airlines agreed to each plead guilty and pay criminal fines totaling $504 million for participating in a multi?year conspiracy to fix prices for air cargo rates.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Hong Kong","","publicly traded","","HK0293001514","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2008/234435.htm","",""
"Certified Slings Inc.","","","","$150,000","$0","$150,000","2007","20071129","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","A central Florida metal sling manufacturer pleaded guilty and agreed to pay a $150,000 criminal fine for its role in a conspiracy to rig bids on U.S. Navy contracts for metal sling hoist assemblies, used to transport items such as bombs and other munitions.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2007/228102.htm","",""
"Cheil Jedang Corporation","CJ Group","CJ Group","","$3,000,000","$0","$3,000,000","2001","20010827","competition-related offenses","price-fixing or anti-competitive practices","","Two Japanese corporations, Ajinomoto Co. Inc. and Daesang Japan Inc., and one Korean corporation, Cheil Jedang Corporation, agreed to plead guilty and pay criminal fines totaling more than $9 million for participating in a worldwide conspiracy to fix the prices of, and allocate customers for nucleotides, a food flavor enhancer.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","South Korea","","publicly traded","","KR7097950000","diversified","diversified","https://www.justice.gov/archive/atr/public/press_releases/2001/8918.htm","",""
"Chi Mei Optoelectronics","Chi Mei Corporation","Chi Mei Corporation","","$220,000,000","$0","$220,000,000","2009","20091209","competition-related offenses","price-fixing or anti-competitive practices","","A Thin-Film Transistor-Liquid Crystal Display producer and seller agreed to plead guilty and pay $220 million in criminal fines for its role in a conspiracy to fix prices in the sale of liquid crystal display panels.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Taiwan","","privately held","","","chemicals","plastics","https://www.justice.gov/opa/pr/taiwan-lcd-producer-agrees-plead-guilty-and-pay-220-million-fine-participating-lcd-price","",""
"China Airlines Ltd.","China Airlines","China Airlines","","$40,000,000","$0","$40,000,000","2010","20100927","competition-related offenses","price-fixing or anti-competitive practices","","China Airlines Ltd. agreed to plead guilty and to pay a $40 million criminal fine for its role in a conspiracy to fix prices in the air transportation industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Taiwan","","publicly traded","","TW0002610003","airlines","airlines","https://www.justice.gov/opa/pr/china-airlines-ltd-agrees-plead-guilty-price-fixing-air-cargo-shipments","",""
"Chunghwa Picture Tubes Ltd.","Tatung","Tatung","","$65,000,000","$0","$65,000,000","2008","20081112","competition-related offenses","price-fixing or anti-competitive practices","","Three leading electronics manufacturers -- LG Display Co. Ltd., Sharp Corp. and Chunghwa Picture Tubes Ltd. -- agreed to plead guilty and pay a total of $585 million in criminal fines for their roles in conspiracies to fix prices in the sale of liquid crystal display (LCD) panels.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","Taiwan","","publicly traded","","TW0002371002","electrical and electronic equipment","electronic equipment","https://www.justice.gov/archive/atr/public/press_releases/2008/239349.htm","",""
"CMET Inc.","","","","$100,000","$0","$100,000","2006","20060320","miscellaneous offenses","obstruction of justice","price-fixing or anti-competitive practices","A Japanese firm, CMET Inc., agreed to plead guilty and to pay a $100,000 criminal fine for conspiring to obstruct justice in connection with the settlement of a merger case.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2006/215151.htm","",""
