"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Acino Products, LLC","","","","$6,250","$0","$6,250","2011","20110926","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2011/acino-products.pdf","",""
"Adler Fels Winery","","","","$15,000","$0","$15,000","2009","20090826","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","Santa Rosa","California","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2009/adlers-fels.pdf","",""
"Allied Domecq Spirits & Wine USA, Inc.","","","","$30,000","$0","$30,000","2004","20040308","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2004/allieddomecq030804.pdf","",""
"Alternative Distribution Network, Inc.","","","","$7,105","$0","$7,105","2009","20090224","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","Bellerose","New York","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2009/alternative-dis-network.pdf","",""
"Ancient Peak, Inc.","","","","$15,000","$0","$15,000","2014","20141120","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2014/ancient-peak-abstmt-20141120_redacted.pdf","",""
"Anheuser-Busch LLC","Anheuser-Busch InBev","Anheuser-Busch InBev","","$300,000","$0","$300,000","2016","20160304","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","Belgium","","publicly traded","BUD","BE0974293251","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2016/anheuser-busch-accepted-oic-redacted.pdf","",""
"Archer Daniels Midland Company","Archer Daniels Midland","Archer Daniels Midland","","$3,000,000","$0","$3,000,000","2008","20080922","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","Decatur","Illinois","","","","","USA","Illinois","publicly traded","ADM","US0394831020","agribusiness","agribusiness","https://www.ttb.gov/images/pdfs/fo-compromise/2008/archer-daniels-midland.pdf","",""
"B. Fernandez and Hermanos, Inc.","","","","$12,000","$0","$12,000","2001","20010801","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","San Juan","Puerto Rico","","","","","","","","","","","","https://www.atf.gov/file/57936/download","",""
"Bacardi Corporation","Bacardi Limited","Bacardi Limited","","$7,500","$0","$7,500","2002","20020630","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","Catano","Puerto Rico","","","","","Bermuda","","privately held","","","beverages","beverages","https://www.atf.gov/file/57726/download","",""
"Bacardi U.S.A., Inc.","Bacardi Limited","Bacardi Limited","","$262,500","$0","$262,500","2011","20110502","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","Bermuda","","privately held","","","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2011/oic_bacardi.pdf","",""
