"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Abbott Laboratories Inc.","AbbVie","Abbott Laboratories","Abbott spun off AbbVie in 2013","$1,500,000,000","$0","$1,500,000,000","2012","20120507","healthcare-related offenses","off-label or unapproved promotion of medical products","","Global Health Care Company Abbott Laboratories Inc. has pleaded guilty and agreed to pay $1.5 billion to resolve its criminal and civil liability arising from the company's unlawful promotion of the prescription drug Depakote for uses not approved as safe and effective by the Food and Drug Administration. The resolution - the second largest payment by a drug company - includes a criminal fine and forfeiture totaling $700 million and civil settlements with the federal government and the states totaling $800 million. Abbott also will be subject to court-supervised probation and reporting obligations for Abbotts CEO and Board of Directors.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","US00287Y1091","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/abbott-labs-pay-15-billion-resolve-criminal-civil-investigations-label-promotion-depakote","",""
"Advanced Sterilization Products, a division of Ethicon Inc.","Johnson & Johnson","Johnson & Johnson","","$1,200,000","$0","$1,200,000","2013","20131204","safety-related offenses","drug or medical equipment safety violation","","Settlement of a civil money penalty action against Advanced Sterilization Products, a division of Ethicon Inc., a Johnson & Johnson company, and two of ASP's executives alleging that ASP manufactured and distributed adulterated and misbranded sterilization monitoring products.","federal","agency action","Food and Drug Administration","civil","","","","","","","","","Irvine","California","","","","","USA","New Jersey","publicly traded","JNJ","US4781601046","pharmaceuticals","pharmaceuticals","http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm377588.htm","",""
"Allergan Inc.","AbbVie","Allergan Inc.","Allergan merged with Actavis and both were bought by AbbVie in 2020","$600,000,000","$0","$600,000,000","2010","20100901","healthcare-related offenses","off-label or unapproved promotion of medical products","","American pharmaceutical manufacturer Allergan Inc. has agreed to plead guilty and pay $600 million to resolve its criminal and civil liability arising from the company's unlawful promotion of its biological product, Botox Therapeutic, for uses not approved as safe and effective by the Food and Drug Administration. The resolution included a criminal fine and forfeiture totaling $375 million and a civil settlement with the federal government and the states of $225 million.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","US00287Y1091","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/allergan-agrees-plead-guilty-and-pay-600-million-resolve-allegations-label-promotion-botox","",""
"Amgen Inc.","Amgen","Amgen","","$762,000,000","$0","$762,000,000","2012","20121219","healthcare-related offenses","off-label or unapproved promotion of medical products","","U.S. District Judge Sterling Johnson, Jr. accepted a guilty plea by American biotechnology giant Amgen Inc. for illegally introducing a misbranded drug into interstate commerce. The plea is part of a global settlement with the United States in which Amgen agreed to pay $762 million to resolve criminal and civil liability arising from its sale and promotion of certain drugs.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","","","","USA","California","publicly traded","AMGN","US0311621009","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/amgen-inc-pleads-guilty-federal-charge-brooklyn-ny-pays-762-million-resolve-criminal","",""
"AstraZeneca LP","AstraZeneca","AstraZeneca","","$520,000,000","$0","$520,000,000","2010","20100427","healthcare-related offenses","off-label or unapproved promotion of medical products","","AstraZeneca LP and AstraZeneca Pharmaceuticals LP will pay $520 million to resolve allegations that AstraZeneca illegally marketed the anti-psychotic drug Seroquel for uses not approved as safe and effective by the Food and Drug Administration, the Departments of Justice and Health and Human Services' Health Care Fraud Enforcement Action Team.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: AZN","GB0009895292","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/pharmaceutical-giant-astrazeneca-pay-520-million-label-drug-marketing","",""
"Atricure Inc.","AtriCure","AtriCure","","$3,760,000","$0","$3,760,000","2010","20100202","healthcare-related offenses","off-label or unapproved promotion of medical products","","Atricure Inc., a medical device manufacturer, agreed to pay the United States $3.76 million to resolve civil claims in connection with the promotion of its surgical ablation devices.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","Ohio","publicly traded","ATRC","US04963C2098","medical equipment and supplies","medical devices","https://www.justice.gov/opa/pr/atricure-pay-us-376-million-resolve-medicare-fraud-allegations","",""
"B. Braun Medical Inc.","B. Braun Melsungen","B. Braun Melsungen","","$7,800,000","$0","$7,800,000","2016","20160518","safety-related offenses","drug or medical equipment safety violation","","Drug and medical device company B. Braun Medical Inc. agreed to pay $4.8 million in penalties and forfeiture and up to an additional $3 million in restitution to resolve its criminal liability for selling contaminated B. Braun pre-filled saline flush syringes in 2007.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","non-prosecution agreement","","","","","","","","","","","","","","Germany","","privately held","","","medical equipment and supplies","medical supplies","https://www.justice.gov/opa/pr/b-braun-medical-inc-agrees-resolve-criminal-liability-relating-its-sale-contaminated-syringes","",""
"Boehringer Ingelheim Pharmaceuticals Inc.","Boehringer Ingelheim","Boehringer Ingelheim","","$95,000,000","$0","$95,000,000","2012","20121025","healthcare-related offenses","off-label or unapproved promotion of medical products","","Boehringer Ingelheim Pharmaceuticals Inc. agreed to pay $95 million to resolve allegations relating to the improper promotion of the stroke-prevention drug Aggrenox, the chronic obstructive pulmonary disease drugs Atrovent and Combivent, and the hypertension drug Micardis.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","Germany","","privately held","","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/boehringer-ingelheim-pay-95-million-resolve-false-claims-act-allegations","",""
"Boston Scientific Corp.","Boston Scientific Corp.","Boston Scientific Corp.","","$30,000,000","$0","$30,000,000","2013","20131017","safety-related offenses","drug or medical equipment safety violation","","Boston Scientific Corp. and its subsidiaries, Guidant LLC, Guidant Sales LLC and Cardiac Pacemakers Inc. (Guidant), have agreed to pay $30 million to settle allegations that, between 2002 and 2005, Guidant knowingly sold defective heart devices to health care facilities that in turn implanted the devices into Medicare patients, the Justice Department announced. Boston Scientific acquired Guidant, a medical device manufacturer, in 2006.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","Massachusetts","publicly traded","BSX","US1011371077","medical equipment and supplies","medical devices","http://www.justice.gov/opa/pr/boston-scientific-and-subsidiaries-pay-30-million-guidant-s-sale-defective-heart-devices-use","",""
"CareFusion Corp.","Becton Dickinson","CareFusion Corp.","Becton Dickinson acquired CareFusion Corp in 2015","$40,100,000","$0","$40,100,000","2014","20140109","government-contracting-related offenses","False Claims Act and related","off-label or unapproved promotion of medical products","CareFusion Corp. agreed to pay the government $40.1 million to settle allegations that it violated the False Claims Act by paying kickbacks and promoting its products for uses that were not approved by the Food and Drug Administration.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","New Jersey","publicly traded","BDX","US0758871091","medical equipment and supplies","medical supplies","https://www.justice.gov/opa/pr/carefusion-pay-government-401-million-resolve-allegations-include-more-11-million-kickbacks","",""
