"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"A. Kazemi & Co., Inc.","","","","$8,262","$0","$8,262","2003","20030404","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04042003.pdf","",""
"AAR International Inc.","AAR Corp.","AAR Corp.","","$9,400","$0","$9,400","2003","20030620","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","AIR","US0003611052","aerospace and military contracting","aerospace & military contracting","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06202003.pdf","",""
"Aban Offshore Limited","","","","$17,500","$0","$17,500","2017","20170112","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20170112_aban.pdf","",""
"ABN AMRO Bank, Inc","ABN AMRO","ABN Amro","In 2007 ABN Amro was acquired by a consortium and subsequently divided up and then reconstituted in 2009","$25,847","$0","$25,847","2004","20040507","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","Netherlands","","privately held","","","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/05072004.pdf","",""
"ABN AMRO Bank, N.V.","ABN AMRO","ABN Amro","In 2007 ABN Amro was acquired by a consortium and subsequently divided up and then reconstituted in 2009","$40,000,000","$0","$40,000,000","2006","20060103","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","Netherlands","","privately held","","","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/01032006.pdf","",""
"ACME Furniture Industry, Inc.","","","","$31,336","$0","$31,336","2007","20070601","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06082007.pdf","",""
"Aetna Life Insurance Company","CVS Health","Aetna Inc.","CVS bought Aetna in 2018","$5,210","$0","$5,210","2008","20080731","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","US1266501006","retailing","retail-pharmacies","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf","",""
"A.G. Edwards and Sons Inc.","Wells Fargo","Wachovia Corporation","Wells Fargo bought Wachovia later in 2008.","$122,358","$0","$122,358","2008","20080731","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","USA","California","publicly traded","WFC","US9497461015","financial services","banking","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf","",""
"Agoda Company, Pte Ltd.","","","","$6,750","$0","$6,750","2008","20080929","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/09292008.pdf","",""
"Air Jamaica Ltd.","","","","$18,750","$0","$18,750","2004","20040402","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04022004.pdf","",""
