"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Accredo Health Group","Cigna","Express Scripts","Cigna bought Express Scripts in 2018","$60,000,000","$0","$60,000,000","2015","20150501","competition-related offenses","kickbacks and bribery","fraud","The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced a $60 million settlement of a civil fraud lawsuit against Accredo Health Group concerning an alleged kickback scheme with Novartis Pharmaceuticals.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","US1255231003","healthcare services","insurance; managed care","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-60-million-civil-fraud-settlement-accredo-health-group","",""
"Bank of New York Mellon","Bank of New York Mellon","Bank of New York Mellon","","$714,000,000","$0","$714,000,000","2015","20150319","financial offenses","banking violation","fraud","The United States Attorney for the Southern District of New York, the Attorney General for the State of New York, the U.S. Secretary of Labor and the Securities and Exchange Commission announced a settlement of civil lawsuits against Bank of New York Mellon alleging that it engaged in fraud and other misconduct when providing foreign exchange services to its customers.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","BK","US0640581007","financial services","banking","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-and-new-york-state-attorney-general-announce-714-million-proposed","",""
"BDO USA, LLP","BDO International","BDO International","","$50,000,000","$0","$50,000,000","2012","20120613","financial offenses","tax violations","","The United States Attorney for the Southern District of New York and the Internal Revenue Service announced that BDO USA, LLP (formerly BDO Seidman LLP) admitted to criminal wrongdoing and agreed to pay $50 million to the United States in connection with its participation in a tax shelter fraud scheme that generated at least $6.5 billion in phony tax losses for wealthy clients.","federal","agency action","U.S. Attorney-Southern District of New York","criminal","deferred prosecution agreement","","","","","","","","","","","","","","Belgium","","privately held","","","business services","accounting services","https://www.justice.gov/archive/usao/nys/pressreleases/June12/bdodpa.html","",""
"Bioscrip Inc.","Option Care Health","BioScrip","BioScrip and Option Care Enterprises merged in 2019 to form Option Care Health.","$15,000,000","$0","$15,000,000","2014","20140108","competition-related offenses","kickbacks and bribery","","Bioscrip agreed to pay $15 million to settle allegations involving an alleged kickback scheme with Novartis.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","OPCH","US68404L2016","healthcare services","infusion services","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-simultaneously-files-additional-healthcare-fraud-claims-against","",""
"Citimortgage Inc.","Citigroup","Citigroup","","$158,300,000","$0","$158,300,000","2012","20120215","consumer-protection-related offenses","mortgage abuses","False Claims Act and related","The United States Attorney for the Southern District of New York and the U.S. Department of Housing and Urban Development announced that the United States settled a civil fraud lawsuit against Citimortgage Inc. for what were alleged to be over six years of misconduct in connection with its participation in the Federal Housing Administration Direct Endorsement Lender Program.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","US1729674242","financial services","banking & securities","https://www.justice.gov/archive/usao/nys/pressreleases/February12/citimortgageincsettlement.html","",""
"Deutsche Bank AG","Deutsche Bank","Deutsche Bank","","$553,633,153","$0","$553,633,153","2010","20101221","financial offenses","tax violations","","The United States Attorney for the Southern District of New York and the Internal Revenue Service announced that Deutsche Bank AG agreed to pay $553,633,153 and admit criminal wrongdoing in connection with its participation in financial transactions which furthered fraudulent tax shelters that generated billions of dollars in U.S. tax losses.","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","Germany","","publicly traded","","DE0005140008","financial services","banking & securities","https://www.justice.gov/archive/usao/nys/pressreleases/December10/deutschebankpr.pdf","",""
"Deutsche Bank AG","Deutsche Bank","Deutsche Bank","","$202,300,000","$0","$202,300,000","2012","20120510","financial offenses","toxic securities abuses","","The United States Attorney for the Southern District of New York, the Justice Department and the U.S. Department of Housing and Urban Development announced that the United States settled a civil fraud lawsuit against Deutsche Bank , DB Structured Products Inc., Deutsche Bank Securities and MORTGAGEIT, INC. resolving allegations of repeated false certifications to HUD in connection with the residential mortgage origination practices.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","Germany","","publicly traded","","DE0005140008","financial services","banking & securities","https://www.justice.gov/archive/usao/nys/pressreleases/May12/deutschebankmortgageitsettlement.html","",""
"Endo Pharmaceuticals Inc. and Vintage Pharmaceuticals, LLC d/b/a Qualitest Pharmaceuticals","Endo International","Endo International","","$39,000,000","$0","$39,000,000","2015","20151216","safety-related offenses","drug or medical equipment safety violation","fraud","The United States Attorney for the Southern District of New York and the Office of Inspector General for the Department of Health and Human Services announced a $39 million settlement against Vintage Pharmaceuticals, LLC d/b/a Qualitest Pharmaceuticals and  Vintage's corporate parent Endo Pharmaceuticals, Inc. in a civil fraud lawsuit.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","Ireland","","publicly traded","ENDP","IE00BJ3V9050","pharmaceuticals","pharmaceuticals","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-39-million-civil-fraud-settlement-against-qualitest","",""
"Ernst & Young LLP","Ernst & Young","Ernst & Young","","$123,000,000","$0","$123,000,000","2013","20130301","financial offenses","tax violations","","The United States Attorney for the Southern District of New York and Internal Revenue Service announced that Ernst & Young LLP admitted wrongful conduct by certain E&Y partners and employees in connection with the firm's participation, from 1999 to 2004, in four tax shelters that were used by approximately 200 E&Y clients in an effort to defer, reduce, or eliminate tax liabilities of more than $2 billion.","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","United Kingdom","","privately held","","","business services","accounting services","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-agreement-ernst-young-llp-pay-123-million-resolve","",""
"Fifth Third Bancorp","Fifth Third Bancorp","Fifth Third Bancorp","","$85,000,000","$0","$85,000,000","2015","20151006","financial offenses","toxic securities abuses","","The United States Attorney for the Southern District of New York,  the U.S. Department of Housing and Urban Development and the Special Inspector General for the Troubled Asset Relief Program announced an $85 million settlement with Fifth Third Bancorp and its subsidiaries  resolving civil fraud claims arising from FTB's origination of residential mortgage loans insured by the Federal Housing Administration.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","Ohio","publicly traded","FITB","US3167731005","financial services","banking","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-85-million-settlement-fifth-third-bancorp-over-failures","",""
"Flagstar Bank","New York Community Bancorp","Flagstar Bancorp","New York Community Bancorp bought Flagstar in 2022","$132,800,000","$0","$132,800,000","2012","20120224","consumer-protection-related offenses","mortgage abuses","","The United States Attorney for the Southern District of New York and the U.S. Department of Housing and Urban Development announced that the United States settled a civil fraud lawsuit alleging that Flagstar Bank F.S.B. improperly approved residential home mortgage loans for government insurance.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYCB","US6494451031","financial services","banking","https://www.justice.gov/archive/usao/nys/pressreleases/February12/flagstarbanksettlement.html","",""
"Golden First Mortgage Corp.","","","","$36,000,000","$0","$36,000,000","2014","20141231","consumer-protection-related offenses","mortgage abuses","False Claims Act and related","The United States Attorney for the Southern District of New York announced the settlement of a civil fraud lawsuit against Golden First Mortgage Corp. relating to its participation in the Federal Housing Administration's Direct Endorsement Lender Program.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-civil-mortgage-fraud-lawsuit-against-golden-first","",""
"HSBC","HSBC","HSBC","","$10,000,000","$0","$10,000,000","2014","20140701","consumer-protection-related offenses","mortgage abuses","","The United States Attorney for the Southern District of New York and the Federal Housing Finance Agency announced that the United States settled civil fraud claims under the False Claims Act against HSBC Bank USA N.A., HSBC Finance Corporation, HSBC Mortgage Corporation  (USA), and HSBC Mortgage Services Inc. related to what was said to be HSBC's failure to oversee the reasonableness of foreclosure-related charges submitted to the Federal Housing Administration and the Federal National Mortgage Association for reimbursement.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","GB0005405286","financial services","banking","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-civil-fraud-claims-against-hsbc-bank-failure-monitor-fees","",""
"Inspire Pharmaceuticals Inc.","Merck","Merck","","$5,900,000","$0","$5,900,000","2015","20150617","healthcare-related offenses","off-label or unapproved promotion of medical products","False Claims Act and related","The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced  that the United States settled civil fraud claims brought against Inspire Pharmaceuticals involving misleading marketing claims.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","New Jersey","publicly traded","MRK","US58933Y1055","pharmaceuticals","pharmaceuticals","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-civil-fraud-claims-against-inspire-pharmaceuticals-inc","",""
"JPMorgan Chase","JPMorgan Chase","JPMorgan Chase","","$53,000,000","$0","$53,000,000","2017","20170120","consumer-protection-related offenses","discriminatory practices (non-employment)","mortgage abuses","The United States Attorney for the Southern District of New York filed and settled a federal civil rights lawsuit against JPMorgan Chase alleging discrimination on the basis of race and national origin in the conduct of its wholesale lending business, in violation of the Fair Housing Act and the Equal Credit Opportunity Act.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: JPM","US46625H1005","financial services","banking & securities","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-lending-discrimination-suit-against-jpmorgan-chase-53","",""
