"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"A&A Global Industries Inc.","","","","$40,000","$0","$40,000","2009","20090707","safety-related offenses","product safety violation","","The U.S. Consumer Product Safety Commission announced that nine children's product manufacturers, importers and sellers agreed to pay a total of more than $500,000 in civil penalties for allegedly violating the federal lead paint ban.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2009/Nine-Companies-Penalized-for-Selling-Childrens-Products-that-Violated-the-Federal-Lead-Paint-Ban","",""
"A&R Knitwear Inc.","","","","$35,000","$0","$35,000","2008","20080806","safety-related offenses","product safety violation","","Nine firms agreed to pay a total of $355,000 in civil penalties to settle allegations that they knowingly failed to report to the CPSC immediately, as required by federal law, that their children's hooded sweatshirts, jackets, or sweaters were sold with drawstrings at the hood and neck and thus posed a strangulation hazard.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2008/Nine-Firms-Agree-To-Pay-More-Than-350000-in-Civil-Penalties-For-Failing-To-Timely-Report-Drawstrings-In-Childrens-Outerwear","",""
"Acuity Brands Inc.","Acuity Brands","Acuity Brands","","$700,000","$0","$700,000","2006","20060309","safety-related offenses","product safety violation","","Acuity Brands Inc., of Atlanta, Ga., agreed to pay a $700,000 civil penalty to settle allegations that the company failed to report to CPSC in a timely manner about defects and hazards in more than 1.4 million of its Lithonia Lighting products.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","USA","Georgia","publicly traded","AYI","US00508Y1029","miscellaneous manufacturing","lighting equipment","https://www.cpsc.gov/Newsroom/News-Releases/2006/Acuity-Brands-Inc-to-Pay-700000-Penalty-for-Failing-to-Report-Hazardous-Lights","",""
"Aerus LLC","","","","$250,000","$0","$250,000","2002","20020829","safety-related offenses","product safety violation","","Aerus LLC, of Dallas, Texas, formerly known as Electrolux LLC, agreed to pay a $250,000 civil penalty to settle allegations that the company failed to report serious defects with certain vacuum cleaners.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2002/Texas-Company-To-Pay-250000-Fine-For-Failure-To-Report-Vacuum-Cleaner-Defects-","",""
"AJ Blue LLC","","","","$40,000","$0","$40,000","2008","20080806","safety-related offenses","product safety violation","","Nine firms agreed to pay a total of $355,000 in civil penalties to settle allegations that they knowingly failed to report to the CPSC immediately, as required by federal law, that their children's hooded sweatshirts, jackets, or sweaters were sold with drawstrings at the hood and neck and thus posed a strangulation hazard.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2008/Nine-Firms-Agree-To-Pay-More-Than-350000-in-Civil-Penalties-For-Failing-To-Timely-Report-Drawstrings-In-Childrens-Outerwear","",""
"Ameri-China International Inc.","","","","$140,000","$0","$140,000","2002","20020705","safety-related offenses","product safety violation","","Ameri-China International Inc., of Los Angeles, Calif., agreed to pay a $140,000 civil penalty to settle allegations that it knowingly imported children's toys that violated federal safety standards.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2002/California-Company-Agrees-To-140000-Fine-For-Importing-Illegal-Childrens-Toys-","",""
"Aqua-Leisure Industries Inc.","Aqua-Leisure Industries","Aqua-Leisure Industries","","$650,000","$0","$650,000","2012","20121017","safety-related offenses","product safety violation","","inflatable baby boats","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","USA","Massachusetts","privately held","","","miscellaneous manufacturing","recreational equipment","http://www.cpsc.gov/en/Newsroom/News-Releases/2013/Aqua-Leisure-Agrees-to-650000-Civil-Penalty-for-Failure-to-Report-Defective-Baby-Boats/","",""
"Ardisam Inc.","","","","$420,000","$0","$420,000","2008","20080110","safety-related offenses","product safety violation","","A Wisconsin-based manufacturer agreed to pay a $420,000 civil penalty to settle allegations that it failed to immediately report to the CPSC serious injuries to hunters with its Big Foot and Lite Foot series hunting tree stands.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2008/Hunting-Tree-Stand-Manufacturer-Agrees-To-Pay-420000-Civil-Penalty","",""
"AZ3 Inc.","","","","$75,000","$0","$75,000","2000","20001011","safety-related offenses","product safety violation","","AZ3 Inc., doing business as BCBG Max Azria (BCBG), agreed to pay a civil penalty of $75,000 to settle allegations that it violated the federal Flammable Fabrics Act and Consumer Product Safety Act by selling dangerously flammable women's chenille sweaters and failed to timely report to CPSC, as required by law, the sale of those sweaters.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2001/BCBG-Max-Azria-Fined-75000-for-Selling-Dangerously-Flammable-Sweaters","",""
"Baby's Dream Furniture Inc.","","","","$200,000","$0","$200,000","2000","20000120","safety-related offenses","product safety violation","","Baby's Dream Furniture Inc., of Buena Vista, Ga., agreed to pay a $200,000 civil penalty to settle allegations that the company violated the Consumer Product Safety Act by failing to timely report defects with its Generation oak model cribs.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.cpsc.gov/Newsroom/News-Releases/2000/Babys-Dream-Furniture-Pays-200000-for-Delay-in-Reporting-Crib-Defect-to-CPSC","",""
