"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Ashley Furniture Industries, Inc.","Ashley Furniture","Ashley Furniture","","$1,750,000","$0","$1,750,000","2016","20160608","safety-related offenses","workplace safety or health violation","","The Occupational Safety and Health Administration and Ashley Furniture, the nation's largest retailer of home furnishings, entered into a corporate-wide settlement agreement resolving all pending OSHA citations at the company's plants in Arcadia and Whitehall Wisconsin, and in Ecru and Ripley, Mississippi.","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","USA","Wisconsin","privately held","","","housewares and home furnishings","furniture","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2452","",""
"BP Products North America","BP","BP","","$50,610,000","$0","$50,610,000","2010","20100812","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","GB0007980591","oil and gas","oil & gas","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2002","",""
"BP Products North America","BP","BP","","$13,027,000","$0","$13,027,000","2012","20120712","safety-related offenses","workplace safety or health violation","","The U.S. Department of Labor's Occupational Safety and Health Administration announced that OSHA and BP Products North America Inc. have resolved 409 of the 439 citations issued by the agency in October 2009 for willful violations of OSHA's process safety management standard at BP's refinery in Texas City, Texas. Under the agreement, BP will pay $13,027,000 in penalties, and already has abated or will abate all existing violations by the end of 2012.","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BP","GB0007980591","oil and gas","oil & gas","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=NEWS_RELEASES&p_id=22680","",""
"DeMoulas Super Markets Inc.","Demoulas Super Markets","Demoulas Super Markets","","$400,000","$0","$400,000","2012","20120427","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","USA","Massachusetts","privately held","","","retailing","retail-supermarkets","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2185","",""
"Dollar Tree Stores inc.","Dollar Tree","Dollar Tree","","$825,000","$0","$825,000","2015","20151205","safety-related offenses","workplace safety or health violation","","corporate-wide settlement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","USA","Virginia","publicly traded","DLTR","US2567461080","retailing","retail-discount stores","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2389","",""
"Goodman Manufacturing Company","Daikin","Hellman & Friedman","Daikin acquired Goodman from Hellman & Friedman in 2012.","$550,000","$0","$550,000","2011","20110722","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","Japan","","publicly traded","","JP3481800005","miscellaneous manufacturing","HVAC equipment","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2140","",""
"Imperial Sugar Company","Louis Dreyfus","Imperial Sugar","Louis Dreyfus bought Imperial Sugar in 2012","$6,050,000","$0","$6,050,000","2010","20100707","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","France","","privately held","","","financial services","commodities brokerage","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2131","",""
"Outland Energy Services","","","","$378,000","$0","$378,000","2011","20110923","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","","","","","","","","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2188","",""
"Republic Engineered Products Inc.","Industrias CH","Industrias CH","","$235,000","$0","$235,000","2012","20120412","safety-related offenses","workplace safety or health violation","","The U.S. Department of Labor has reached a settlement agreement with Canton-based Republic Steel Inc. resolving citations issued by the department's Occupational Safety and Health Administration in May 2011 for violations found at the company's facility in Lorain. Republic Steel, formally known as Republic Engineered Products Inc., will pay $235,000 in fines, hire full-time health and safety managers, and improve safety training for workers at its steel mills in federal OSHA's jurisdiction. In addition to the Lorain mill, three other facilities are located in Canton and Massillon, Ohio, and Blasdell, N.Y.","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","Mexico","","publicly traded","","MXP524131127","metals","steel","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=NEWS_RELEASES&p_id=22164","",""
"Republic Steel","Industrias CH","Industrias CH","","$2,400,000","$0","$2,400,000","2014","20140501","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","","","","Mexico","","publicly traded","","MXP524131127","metals","steel","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2272","",""
