"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"All Oceans Transportation, Inc., Italia Marritema SpA and Yang Ming Transport Corporation","","","","$3,250,000","$0","$3,250,000","2006","20060725","environment-related offenses","environmental violation","","The owners and operators of the foreign-flagged container vessel Med Taipei agreed to pay $3.25 million to the United States to resolve allegations that the 15 containers lost overboard in 2004 resulted in long-term damage to the Monterey Bay National Marine Sanctuary.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2006/July/06_enrd_460.html","",""
"Alphin Brothers Inc.","","","","$100,000","$0","$100,000","2015","20150811","environment-related offenses","environmental violation","","North Carolina-based seafood processor and wholesale distributor Alphin Brothers Inc., was sentenced in federal court for falsely labeling imported shrimp, the Justice Department announced. Consistent with the plea agreement, the court sentenced Alphin Brothers Inc., to pay a criminal fine of $100,000 and to forfeit approximately 21,450 pounds of shrimp. ","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","criminal","","","","","","","","","Dunn","North Carolina","","","","","","","","","","","","http://www.justice.gov/opa/pr/north-carolina-seafood-processor-and-distributor-sentenced-mislabeling-shrimp","",""
"Estremar S.A.","","","","$235,000","$0","$235,000","2006","20060615","environment-related offenses","environmental violation","","Estremar S.A., an Argentine company formerly known as ASC South America S.A., pleaded guilty to violating federal anti-fish and wildlife trafficking law by importing and attempting to sell Patagonian toothfish, often marketed by the trade name Chilean seabass, without the documentation required to show it was legally harvested. The plea agreement required Estremar to pay a fine of $75,000, to make a community service donation of $10,000 to a nonprofit organization, and to forfeit assets of $250,000.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2006/June/06_enrd_372.html","",""
"Great Lakes Dredge and Dock Company","Great Lakes Dredge & Dock Corporation","Citigroup","In 2003 Citigroup sold Great Lakes Dredge to Madison Dearborn Partners, which spun it off in an initial public offering in 2006.","$969,000","$0","$969,000","2002","20021220","environment-related offenses","environmental violation","","Great Lakes Dredge and Dock Company of Oak Brook, Ilinois agreed to pay nearly $1 million for damages to seagrass and other resources in the Florida Keys National Marine Sanctuary.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","GLDD","US3906071093","miscellaneous services","dredging services","https://www.justice.gov/archive/opa/pr/2002/December/02_enrd_738.htm","",""
"Harbor House Seafood","","","","$250,000","$0","$250,000","2015","20150302","environment-related offenses","environmental violation","food safety violation","Mark Bryan of New Market, Maryland, and his Delaware-based seafood wholesale business, Harbor House Seafood, were sentenced in federal court in Camden, New Jersey, for trafficking in illegally possessed oysters, creating false health and safety records, and conspiracy charges. Bryan was sentenced to serve 26 months in prison followed by three years of supervised release. Bryan was also ordered to pay a $62,500 fine and to pay New Jersey $140,000 for the restoration of oyster beds in Delaware Bay.  Harbor House was ordered to pay a $250,000 fine and was sentenced to five years of probation.  Friday's sentences, in addition to the previous sentencing of Bryan's co-conspirators and suppliers, brings the total fines and forfeitures in this matter to over $625,000, along with $194,000 of restoration costs.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","Delaware","","","","","","","","","","","","http://www.justice.gov/opa/pr/delaware-seafood-wholesaler-and-company-fined-and-owner-sentenced-26-months-prison-illegally","",""
"Lou's Fish Market Inc.","Lou's Fish Market Inc.","Lou's Fish Market Inc.","","$1,042,000","$0","$1,042,000","2015","20150707","environment-related offenses","environmental violation","","Lou's Fish Market Inc , a federally-licensed fish dealer located in the Bronx, New York, and its president pleaded guilty in federal court in Central Islip, New York, to federal felonies stemming from their role in systematically covering up purchases of illegal fluke (summer flounder), scup and black sea bass that were being harvested in violation of the federal Research Set-Aside (RSA) Program, the Justice Department's Environment and Natural Resources Division announced. As part of the plea deal, the two defendants agreed to pay $932,000 in combined fines and restitution.  The defendants also agreed to make a $110,000 community service payment for the enhancement of seagrass and fluke habitat around Long Island.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","Bronx","New York","","","","","USA","New York","privately held","","","food products","food products","http://www.justice.gov/opa/pr/fulton-fish-market-dealer-and-president-plead-guilty-long-island-fraud-falsifying-federal","",""
"Potomac Electric Power Company (PEPCO)","Exelon","Pepco","Exelon acquired Pepco in 2016","$3,000,000","$0","$3,000,000","2002","20021212","environment-related offenses","environmental violation","","The Justice Department announced a $3 million settlement with Potomac Electric Power Company (PEPCO) and its pipeline operator, ST Services, to recover natural resource damages and assessment costs arising from an oil spill from a ruptured pipeline near PEPCO's Chalk Point Generating Station near Aquasco, Maryland. ","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","EXC","US30161N1019","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2002/December/02_enrd_713.htm","",""
"Shellrock LLC, also known as Reeves Brothers","","","","$70,000","$0","$70,000","2015","20150212","environment-related offenses","environmental violation","food safety violation","Three oyster harvesters and dealers, an employee and a related business were sentenced yesterday in federal court in Camden, New Jersey. Todd Reeves, Thomas Reeves, Renee Reeves, of Port Norris, New Jersey, and their oyster dealer company, Shellrock LLC, were sentenced for their roles in creating false oyster records, trafficking in illegally possessed oysters, obstructing the U.S. Food and Drug Administration's (FDA) regulation of public health and safety, and conspiring to commit those crimes. Kenneth Bailey, of Heislerville, New Jersey, was sentenced for creating false oyster records and trafficking in illegal oysters. Todd Reeves was sentenced to serve 26 months in prison and three years of supervised release, to pay a $7,000 fine, and was ordered to pay New Jersey $140,000 for the restoration of oyster beds in Delaware Bay.  Thomas Reeves was sentenced to serve 16 months in prison and three years of supervised release and pay a $7,000 fine, while Renee Reeves was sentenced to serve five years of probation and pay a $2,500 fine.  Thomas, Renee and Shellrock were found liable for the restitution amount along with Todd.  Todd and Thomas Reeves were additionally ordered to forfeit $144,000 to substitute assets for the vessels that they used to overharvest the oysters.  The Reeves business, Shellrock, also known as Reeves Brothers, was ordered to pay a fine of $70,000 and complete a term of five years of probation.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","","","","","","","","http://www.justice.gov/opa/pr/new-jersey-oyster-harvesters-and-dealers-sentenced-illegally-trafficking-oysters-falsifying","",""
"Kirby Inland Marine LP","Kirby Corp.","Kirby Corp.","","$15,300,000","$0","$15,300,000","2021","20211201","environment-related offenses","environmental violation","","Kirby Inland Marine LP agreed to pay $15.3 million in damages and assessment costs under the Oil Pollution Act to resolve federal and state claims for injuries to natural resources resulting from an oil spill from a Kirby barge, after a collision Kirby caused.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","USA","Texas","publicly traded","KEX","US4972661064","miscellaneous services","barge services","https://www.justice.gov/opa/pr/barge-company-will-pay-over-15-million-injuries-natural-resources-resulting-oil-spill-houston","",""
"American Commercial Barge Line LLC","","","","$3,320,000","$0","$3,320,000","2021","20211004","environment-related offenses","environmental violation","","American Commercial Barge Line LLC agreed to acquire and preserve 649 acres of woodland wildlife habitat near New Orleans, Louisiana, and pay over $2 million in damages, in addition to $1.32 million previously paid for damage assessment and restoration planning costs, under the Oil Pollution Act (OPA) and the Louisiana Oil Spill Prevention and Response Act (OSPRA), to resolve federal and State claims for injuries to natural resources resulting from an oil spill from one of its barges.","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/barge-company-will-preserve-649-acres-habitat-and-pay-over-2-million-injuries-natural","",""
"Advanced Frozen Foods Inc.","","","","$100,000","$0","$100,000","2021","20211109","environment-related offenses","environmental violation","fraud","","federal","agency action","National Oceanic and Atmospheric Administration referral to the Justice Department","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/enrd/page/file/1467991/download#December","",""
