"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"21st Century Oncology Inc.","KKR & Co.","21st Century Oncology","In 2019 KKR acquired Genesiscare, which later that year acquired 21st Century Oncology","$34,700,000","$0","$34,700,000","2016","20160308","government-contracting-related offenses","False Claims Act and related","","21st Century Oncology Inc., the nation's largest physician led integrated cancer care provider and its wholly owned subsidiary South Florida Radiation Oncology LLC, agreed to settle allegations that they performed and billed for procedures that were not medically necessary.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","KKR","US48251W1045","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/opa/pr/united-states-settles-false-claims-act-allegations-against-21st-century-oncology-347-million","",""
"A Plus Home Health Care Inc.","","","","$1,650,000","$0","$1,650,000","2014","20140917","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","A Plus Home Health Care Inc. and its owners, Tracy Nemerofsky and her father, Stephen Nemerofsky, agreed to pay $1.65 million to the United States to settle allegations that A Plus paid spouses of referring physicians for sham marketing positions in order to induce patient referrals.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/florida-home-health-care-company-and-its-owners-agree-resolve-false-claims-act-allegations","",""
"Abbott Laboratories","Abbott Laboratories","Abbott Laboratories","","$5,475,000","$0","$5,475,000","2013","20131227","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Abbott Laboratories agreed to $5.475 million to resolve allegations that it violated the False Claims Act by paying kickbacks to induce doctors to implant the company's carotid, biliary and peripheral vascular products.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","ABT","US0028241000","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/abbott-laboratories-pays-us-5475-million-settle-claims-company-paid-kickbacks-physicians","",""
"Abbott Laboratories Inc.","AbbVie","Abbott Laboratories","Abbott spun off AbbVie in 2013","$126,500,000","$0","$126,500,000","2010","20101207","government-contracting-related offenses","False Claims Act and related","","Abbott Laboratories Inc., B. Braun Medical Inc. and Roxane Laboratories Inc. n/k/a Boehringer Ingelheim Roxane Inc. and affiliated entities agreed to pay $421 million to settle False Claims Act allegations, that they engaged in a scheme to report false and inflated prices for numerous pharmaceutical products knowing that federal healthcare programs relied on those reported prices to set payment rates.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","US00287Y1091","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/pharmaceutical-manufacturers-pay-4212-million-settle-false-claims-act-cases","",""
"Academy for Educational Development","","","","$5,000,000","$0","$5,000,000","2011","20110630","government-contracting-related offenses","False Claims Act and related","","The Academy for Educational Development in Washington, D.C., agreed to settle allegations that the company submitted false claims to the United States Agency for International Development in connection with two cooperative agreements under which AED provided foreign assistance in Afghanistan and Pakistan. Although certain terms of the settlement were contingent on future events, the agreement ensured that the United States would receive more than $5 million, and potentially could receive more than $15 million, to settle these claims.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/washington-dc-based-academy-educational-development-pays-more-5-million-settle-false-claims","",""
"Accenture LLP","Accenture","Accenture","","$63,675,000","$0","$63,675,000","2011","20110912","government-contracting-related offenses","False Claims Act and related","","Accenture LLP agreed to pay the United States $63.675 million to resolve a whistleblower lawsuit alleging that Accenture submitted or caused to be submitted false claims for payment under numerous contracts with agencies of the United States for information technology services.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","Ireland","","publicly traded","ACN","IE00B4BNMY34","business services","business services","https://www.justice.gov/opa/pr/accenture-pays-us-63675-million-settle-false-claims-act-allegations","",""
"Acclarent Inc.","Johnson & Johnson","Johnson & Johnson","","$18,000,000","$0","$18,000,000","2016","20160722","government-contracting-related offenses","False Claims Act and related","","California-based medical device manufacturer Acclarent Inc., a subsidiary of Johnson & Johnson, agreed to pay $18 million to resolve allegations that the company caused health care providers to submit false claims to Medicare and other federal health care programs by marketing and distributing its sinus spacer product for use as a drug delivery device without Food and Drug Administration approval.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","New Jersey","publicly traded","JNJ","US4781601046","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/johnson-johnson-subsidiary-acclarent-inc-pays-government-18-million-settle-false-claims-act","",""
"AdminaStar Federal, Inc.","Elevance Health","Elevance Health","Anthem changed its name to Elevance Health in 2022.","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Indiana","publicly traded","ELV","US0367521038","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html","",""
"Adventist Health System","AdventHealth","AdventHealth","","$115,000,000","$0","$115,000,000","2015","20150921","government-contracting-related offenses","False Claims Act and related","","Adventist Health System agreed to pay the United States $115 million to settle allegations that it violated the False Claims Act by maintaining improper compensation arrangements with referring physicians and by miscoding claims.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/adventist-health-system-agrees-pay-115-million-settle-false-claims-act-allegations","",""
"Adventist Health System/Sunbelt Inc.","AdventHealth","AdventHealth","","$3,900,000","$0","$3,900,000","2012","20120207","government-contracting-related offenses","False Claims Act and related","","Fourteen hospitals located in New York, Mississippi, North Carolina, Washington, Indiana, Missouri and Florida agreed to pay the United States a total of more than $12 million to settle allegations that the health care facilities submitted false claims to Medicare relating to lyphplasty services.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","Florida","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/fourteen-hospitals-pay-us-more-12-million-resolve-false-claims-act-allegations-related","",""
"Adventist Health System/West","Adventist Health (CA)","Adventist Health (CA)","","$14,100,000","$0","$14,100,000","2013","20130503","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Adventist Health System/West, dba Adventist Health, and its affiliated hospital White Memorial Medical Center agreed to pay the United States and the state of California $14.1 million to settle claims that they violated the False Claims Act. The settlement resolved allegations that Adventist Health improperly compensated physicians who referred patients to the White Memorial facility by transferring assets, including medical and non-medical supplies and inventory, at less than fair market value.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","Los Angeles","California","","","","","USA","California","non-profit","","","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-pays-united-states-and-state-california-141-million-resolve-false-claims-act","",""
"Adventist Health System Sunbelt Healthcare Corporation","AdventHealth","AdventHealth","","$28,300,000","$0","$28,300,000","2004","20041028","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation, three affiliated hospitals and a management company that administered ambulance operations at the three hospitals agreed to pay the U.S. $20.3 million to settle allegations that they overcharged Medicare for ambulance transports for patients which were not medically necessary.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","Florida","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2004/October/04_civ_723.htm","",""
"Adventist Health System Sunbelt Healthcare Corporation","AdventHealth","AdventHealth","","$8,700,000","$0","$8,700,000","2000","20001208","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation and three affiliated hospitals agreed to pay the United States $8.7 million to settle allegations that the hospitals overcharged Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2000/December/686civ.htm","",""
"Adventist Health System Sunbelt Healthcare Corporation","AdventHealth","AdventHealth","","$5,500,000","$0","$5,500,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","",""
"Adventist Health System Sunbelt Healthcare Corporation","AdventHealth","AdventHealth","","$5,412,502","$0","$5,412,502","2015","20150319","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation agreed to pay $5,412,502 to resolve claims that it violated the False Claims Act by providing radiation oncology services to Medicare and TRICARE beneficiaries that were not directly supervised by radiation oncologists or similarly qualified persons.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","USA","Florida","non-profit","","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/adventist-health-system-pay-54-million-resolve-false-claims-act-allegations","",""
