"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"8000 Inc.","","","","$6,500,000","$0","$6,500,000","2015","20150916","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2015/lr23349.htm","",""
"211 Ventures LLC","","","","$2,300,000","$0","$2,300,000","2013","20130319","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2013/lr22649.htm","",""
"21st Century Satellite Communications, Inc.","","","","$6,110,736","$0","$6,110,736","2001","20011012","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr17183.htm","",""
"A Chicago Convention Center, LLC and Intercontinental Regional Center Trust of Chicago, LLC","","","","$12,950,000","$0","$12,950,000","2014","20140319","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2014/lr22945.htm","",""
"ABB Ltd","ABB Ltd.","ABB Ltd.","","$5,900,000","$0","$5,900,000","2004","20040706","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","Switzerland","","publicly traded","ABB","CH0012221716","utilities and power generation","power systems","https://www.sec.gov/litigation/litreleases/lr18775.htm","",""
"ABB Ltd.","ABB Ltd.","ABB Ltd.","","$39,300,000","$0","$39,300,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","Switzerland","","publicly traded","ABB","CH0012221716","utilities and power generation","power systems","https://www.sec.gov/news/press/2010/2010-175.htm","",""
"ACI Inc.","","","","$7,756,750","$0","$7,756,750","2004","20040902","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr18869.htm","",""
"A.C.L.N. Ltd. and Scandinavian Car Carriers","","","","$27,000,000","$0","$27,000,000","2004","20040916","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr18888.htm","",""
"Advance Local Development Corp.","","","","$9,509,736","$0","$9,509,736","2002","20020422","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr17480.htm","",""
"Aegis Oil, LLC","","","","$41,319,067","$0","$41,319,067","2016","20160930","competition-related offenses","fraud","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2016/lr23663.htm","",""
"A.G. Edwards & Sons, Inc.","Wells Fargo","A.G. Edwards & Sons Inc.","Later in 2007 A.G. Edward was bought by Wachovia Corporation, which was acquired by Wells Fargo in 2008","$3,860,000","$0","$3,860,000","2007","20070502","financial offenses","investor protection violation","financial institution supervision failures","A.G. Edwards & Sons, Inc. agreed to pay $3.86 million to settle allegations that it to supervise some of its registered representatives who used deceptive means to place market timing trades on behalf of their customers.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","USA","California","publicly traded","WFC","US9497461015","financial services","banking","https://www.sec.gov/news/press/2007/2007-84.htm","",""
"AGCO Corporation","AGCO Corp.","AGCO Corp.","","$18,300,000","$0","$18,300,000","2009","20090930","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","AGCO Corporation agreed to pay $18.3 million to settle allegations that certain subsidiaries made approximately $5.9 million in kickback payments related to their sales of humanitarian goods to Iraq under the United Nations Oil for Food Program.  ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","USA","Georgia","publicly traded","AGCO","US0010841023","agribusiness","agricultural equipment","https://www.sec.gov/news/press/2009/2009-212.htm","",""
"AgFeed Industries","","","","$18,000,000","$0","$18,000,000","2014","20140915","financial offenses","accounting fraud or deficiencies","","A Tennessee-based animal feed company agreed to pay back $18 million in illicit profits from an accounting fraud that resulted in an earlier SEC enforcement action.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542938017","",""
"AIC Inc.","","","","$66,760,521","$0","$66,760,521","2014","20140801","financial offenses","investor protection violation","","The SEC announced that it obtained a final judgment in federal court in Tennessee requiring a Richmond, Va.-based financial services holding company, a subsidiary brokerage firm, and their CEO to pay nearly $70 million as the outcome of a trial that found them liable for fraud.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542590856","",""
