"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"AERA ENERGY LLC","Shell PLC","Shell PLC","Royal Dutch Shell changed its name to Shell PLC in 2022","$15,000","$0","$15,000","2009","20090306","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","","GB00B03MLX29","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520045016.html?nocache=5507","",""
"AGL RESOURCES","Southern Company","AGL Resources","Southern Company and AGL Resources merged in 2016","$10,000","$0","$10,000","2003","20030815","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","USA","Georgia","publicly traded","SO","US8425871071","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220023003.html?nocache=2944","",""
"AIR PRODUCTS & CHEMICALS INC","Air Products & Chemicals","Air Products & Chemicals","","$20,000","$0","$20,000","2009","20091201","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","USA","Pennsylvania","publicly traded","APD","US0091581068","chemicals","chemicals","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420091008.html?nocache=7176","",""
"ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP)","Enbridge","Spectra Energy","Enbridge bought Spectra in 2017","$85,700","$0","$85,700","2010","20100810","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","Canada","","publicly traded","ENB","CA29250N1050","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120101004.html?nocache=6299","",""
"ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP)","Enbridge","Spectra Energy","Enbridge bought Spectra in 2017","$69,000","$0","$69,000","2010","20100121","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","Canada","","publicly traded","ENB","CA29250N1050","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120101001.html?nocache=4638","",""
"ALGONQUIN GAS TRANSMISSION L.L.C. (SPECTRA ENERGY PARTNERS)","Enbridge","Spectra Energy","Enbridge bought Spectra in 2017","$26,200","$0","$26,200","2016","20160112","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","Canada","","publicly traded","ENB","CA29250N1050","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120161002.html?nocache=4323","",""
"ALON USA LP","Delek","Alon USA Energy","Delek acquired Alon USA in 2017","$200,000","$0","$200,000","2009","20090806","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","Israel","","publicly traded","DK","IL0010841281","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520045021.html?nocache=1273","",""
"ALYESKA PIPELINE SERVICE CO","","","","$62,500","$0","$62,500","2003","20031231","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","","","","","","","","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520005006.html?nocache=1637","",""
"ALYESKA PIPELINE SERVICE CO","","","","$45,000","$0","$45,000","2004","20040428","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","","","","","","","","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520025003.html?nocache=3924","",""
"ALYESKA PIPELINE SERVICE CO","","","","$27,000","$0","$27,000","2009","20090728","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","","","","","","","","","","","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520055023.html?nocache=2435","",""
