"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Air Shunt Instruments Inc.","","","","$250,000","$0","$250,000","2008","20080717","competition-related offenses","export control violation","","Air Shunt Instruments Inc., a California aircraft components company, was sentenced to pay a criminal fine of $250,000 for false statements related to the illegal export of military technology.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/July/08-nsd-623.html","",""
"Aviation Services International, B.V.","","","","$100,000","$0","$100,000","2009","20090924","competition-related offenses","export control violation","","A Dutch aviation services company was sentenced to five years of probation and a $100,000 fine after pleading guilty to federal charges related to a conspiracy to illegally export aircraft components and other items from the United States to entities in Iran via the Netherlands, the United Arab Emirates and Cyprus.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/dutch-firm-and-two-officers-plead-guilty-conspiracy-export-aircraft-components-and-other","",""
"Balli Aviation Ltd.","Balli Group","Balli Group","","$2,000,000","$0","$2,000,000","2010","20100511","competition-related offenses","export control violation","","Balli Aviation Ltd., a subsidiary of the United Kingdom-based Balli Group PLC, was sentenced to pay a $2 million fine and to serve a five-year corporate period of probation after pleading guilty on Feb. 5, 2010, to a two-count criminal information in connection with its illegal export of commercial Boeing 747 aircraft from the United States to Iran.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","United Kingdom","","privately held","","","financial services","commodities","https://www.justice.gov/opa/pr/uk-firm-fined-2-million-after-pleading-guilty-illegally-exporting-boeing-747-aircraft-iran","",""
"Chiquita Brands International Inc.","Chiquita Brands International","Chiquita Brands International","In 2014 Chiquita was purchased by Cutrale and Safra Group, each with a 50 percent share.","$25,000,000","$0","$25,000,000","2007","20070319","miscellaneous offenses","payment to designated terrorist organization","","Chiquita Brands International Inc. pleaded guilty to one count of engaging in transactions with a terrorist organization in Colombia.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","USA","Florida","joint venture (owned 50-50 by Cutrale and Safra Group)","","","food products","bananas","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_161.html","",""
"GWC Valve International Inc","","","","$710,833","$0","$710,833","2011","20110509","competition-related offenses","export control violation","","GWC Valve International was sentenced to to a criminal fine of $300,000 and five years of corporate probation and ordered to forfeit $410,833.82 in connection after pleading guilty to charges of violating restrictions on the export of industrial valves to Iran.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/california-company-and-its-ceo-sentenced-conspiring-illegally-export-industrial-valves-iran","",""
"ITT Corporation","L3Harris Technologies","ITT Corporation","In 2011 ITT spun off its military businesses as Exelis Inc. In 2015 Exelis was acquired by Harris Corp., which in 2019 merged with L3 Technologies to form L3Harris Technologies.","$50,000,000","$0","$50,000,000","2007","20070327","miscellaneous offenses","misuse of classified data","Arms Export Control Act","ITT Corporation, the leading manufacturer of military night vision equipment for the U.S. Armed Forces, admitted sending classified materials overseas and agreed to pay a $100 million criminal penalty, half of which was deferred. ","federal","agency action","Justice Department National Security Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","USA","Florida","publicly traded","LHX","US5024311095","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_192.html","",""
"ZTE Corporation","ZTE","ZTE","","$430,488,798","$0","$430,488,798","2017","20170307","competition-related offenses","export control violation","","ZTE Corporation agreed to enter a guilty plea and to pay a $430,488,798 penalty to the U.S. for conspiring to violate the International Emergency Economic Powers Act by illegally shipping U.S.-origin items to Iran, obstructing justice and making a material false statement. The plea agreement required that ZTE pay a fine in the amount of $286,992,532 and a criminal forfeiture in the amount of $143,496,266.","federal","agency action","Justice Department National Security Division","civil and criminal","","","","","","","","","","","","","","","China","","publicly traded","","CNE000000TK5","telecommunications","telecommunications","https://www.justice.gov/opa/pr/zte-corporation-agrees-plead-guilty-and-pay-over-4304-million-violating-us-sanctions-sending","",""
"Robbins & Myers Belgium S.A.","NOV Inc.","NOV Inc.","National Oilwell Varco changed its name to NOV in 2021","$1,000,000","$0","$1,000,000","2014","20141002","competition-related offenses","export control violation","","","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","USA","Texas","publicly traded","NOV","US62955J1034","oilfield services and supplies","oilfield equipment","https://www.justice.gov/opa/pr/foreign-subsidiary-texas-oil-firm-pleads-guilty-illegally-exporting-drilling-equipment-syria","",""
"Yang Ban Corporation","","","","$673,714","$0","$673,714","2020","20200831","competition-related offenses","export control violation","money laundering","","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/company-pleads-guilty-money-laundering-violation-part-scheme-circumvent-north-korean","",""
"Essentra FZE Company Limited","","","","$665,112","$0","$665,112","2020","20200716","competition-related offenses","export control violation","","","federal","agency action","Justice Department National Security Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/essentra-fze-admits-north-korean-sanctions-and-fraud-violations-agrees-pay-fine","",""
