"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Worden Capital Management LLC","","","","$1,550,000","$0","$1,550,000","2020","20201231","financial offenses","investor protection violation","financial institution supervision failures","FINRA sanctioned Worden Capital Management LLC more than $1.5 million, including approximately $1.2 million in restitution to customers whose accounts were excessively traded by the firm's representatives and a $350,000 fine for supervisory and other violations.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","","","","","","","","https://www.finra.org/media-center/newsreleases/2020/finra-orders-worden-capital-management-llc-pay-more-12-million","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Transamerica Financial Advisors, Inc.","Aegon","Aegon","","$8,800,000","$0","$8,800,000","2020","20201221","financial offenses","investor protection violation","financial institution supervision failures","FINRA announced that Transamerica Financial Advisors, Inc. agreed to pay approximately $4.4 million in restitution to approximately 2,400 customers for failing to supervise its registered representatives' recommendations of three different products - variable annuities, mutual funds, and 529 plans. FINRA also fined TFA $4.4 million.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","Netherlands","","publicly traded","NYSE: AEG","NL0000303709","financial services","insurance","https://www.finra.org/media-center/newsreleases/2020/finra-sanctions-transamerica-financial-advisors-inc-88-million","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Wells Fargo Clearing Services, LLC and Wells Fargo Advisors Financial Network, LLC","Wells Fargo","Wells Fargo","","$2,075,000","$0","$2,075,000","2020","20200902","financial offenses","investor protection violation","financial institution supervision failures","Wells Fargo Clearing Services, LLC and Wells Fargo Advisors Financial Network, LLC agreed to pay more than $1.4 million in restitution, plus interest, to approximately 100 customers and fines totaling $675,000 for failing to supervise recommendations that customers switch from variable annuities to investment company products.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","California","publicly traded","WFC","US9497461015","financial services","banking","https://www.finra.org/media-center/newsreleases/2020/finra-sanctions-wells-fargo-clearing-services-llc-and-wells-fargo","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Interactive Brokers LLC","Interactive Brokers Group","Interactive Brokers Group","","$15,000,000","$0","$15,000,000","2020","20200810","financial offenses","anti-money-laundering deficiencies","financial institution supervision failures","FINRA fined Interactive Brokers LLC $15 million for widespread failures in the firm's anti-money laundering program, which persisted for more than five years.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","Connecticut","publicly traded","IBKR","US45841N1072","financial services","stock brokerage","https://www.finra.org/media-center/newsreleases/2020/finra-fines-interactive-brokers-15-million-widespread-aml-failures","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"SG Americas Securities, LLC","Societe Generale","Societe Generale","","$1,550,000","$0","$1,550,000","2020","20200624","financial offenses","investor protection violation","","FINRA fined SG Americas Securities, LLC $1.55 million for submitting inaccurate trade data (known as blue sheets) to FINRA for more than seven years.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","France","","publicly traded","","FR0000130809","financial services","banking","https://www.finra.org/media-center/newsreleases/2020/finra-fines-sg-americas-securities-1-point-55-million-for-submitting-inaccurate-blue-sheet-data","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Merrill Lynch, Pierce, Fenner & Smith Inc.","Bank of America","Bank of America","","$7,200,000","$0","$7,200,000","2020","20200604","financial offenses","investor protection violation","financial institution supervision failures","FINRA ordered Merrill Lynch, Pierce, Fenner & Smith Inc. to pay more than $7.2 million in restitution and interest to customers who incurred unnecessary sales charges and paid excess fees in connection with mutual fund transactions. The firm did not have supervisory systems and procedures reasonably designed to ensure that these customers, who collectively held more than 13,000 Merrill Lynch accounts, received available sales charge waivers and fee rebates.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://www.finra.org/media-center/newsreleases/2020/finra-orders-merrill-lynch-pierce-fenner-smith-inc-pay-7-point-2-million","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Stifel, Nicolaus & Company, Incorporated","Stifel Financial","Stifel Financial","","$3,650,000","$0","$3,650,000","2020","20200528","financial offenses","investor protection violation","financial institution supervision failures","FINRA ordered Stifel, Nicolaus & Company, Incorporated to pay approximately $1.9 million in restitution, plus interest, to more than 1,700 customers in connection with early rollovers of Unit Investment Trusts (UITs). FINRA also fined the firm $1.75 million for providing inaccurate information to customers related to rollover costs incurred, and for related supervisory violations.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","Missouri","publicly traded","SF","US8606301021","financial services","financial services","https://www.finra.org/media-center/newsreleases/2020/finra-sanctions-stifel-nicolaus-co-inc-more-3-point-6-million-violations","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Oppenheimer & Co. Inc.","Oppenheimer Holdings","Oppenheimer Holdings","","$4,600,000","$0","$4,600,000","2019","20191230","financial offenses","investor protection violation","financial institution supervision failures","FINRA ordered Oppenheimer & Co. Inc. to pay more than $3.8 million in restitution to customers who incurred potentially excessive sales charges caused by early rollovers of Unit Investment Trusts (UITs). FINRA also fined the firm $800,000 for failing to reasonably supervise early UIT rollovers.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","OPY","US6837971042","financial services","financial services","https://www.finra.org/media-center/newsreleases/2019/finra-orders-oppenheimer-co-inc-pay-38-million-restitution-customers","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"Citigroup Global Markets Inc.","Citigroup","Citigroup","","$280,000","$0","$280,000","2019","20191226","financial offenses","investor protection violation","financial institution supervision failures","FINRA sanctioned five firms-Citigroup Global Markets Inc.; J.P. Morgan Securities LLC; LPL Financial LLC; Morgan Stanley Smith Barney LLC; and Merrill Lynch, Pierce, Fenner & Smith Incorporated-for failing to reasonably supervise compliance with FINRA Rule 2090, FINRA's Know Your Customer rule. In settling this matter, the five firms paid combined fines totaling $1.4 million, and agreed to review their policies, systems, and procedures to ensure that they are reasonably designed to supervise custodial accounts and to achieve compliance with FINRA Rule 2090.  The firms neither admitted nor denied the charges, but consented to the entry of FINRA's findings. FINRA's announcement did not specify how much each firm was fined. Here we assume the $1.4 million was divided equally among them.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","US1729674242","financial services","banking & securities","https://www.finra.org/media-center/newsreleases/2019/finra-sanctions-five-firms-failure-reasonably-supervise-custodial","","FINRA is a securities industry self-regulatory body authorized by the federal government."
"J.P. Morgan Securities LLC","JPMorgan Chase","JPMorgan Chase","","$280,000","$0","$280,000","2019","20191226","financial offenses","investor protection violation","financial institution supervision failures","FINRA sanctioned five firms-Citigroup Global Markets Inc.; J.P. Morgan Securities LLC; LPL Financial LLC; Morgan Stanley Smith Barney LLC; and Merrill Lynch, Pierce, Fenner & Smith Incorporated-for failing to reasonably supervise compliance with FINRA Rule 2090, FINRA's Know Your Customer rule. In settling this matter, the five firms paid combined fines totaling $1.4 million, and agreed to review their policies, systems, and procedures to ensure that they are reasonably designed to supervise custodial accounts and to achieve compliance with FINRA Rule 2090.  The firms neither admitted nor denied the charges, but consented to the entry of FINRA's findings. FINRA's announcement did not specify how much each firm was fined. Here we assume the $1.4 million was divided equally among them.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: JPM","US46625H1005","financial services","banking & securities","https://www.finra.org/media-center/newsreleases/2019/finra-sanctions-five-firms-failure-reasonably-supervise-custodial","","FINRA is a securities industry self-regulatory body authorized by the federal government."
