"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"AB Volvo","Volvo","Volvo","","$7,000,000","$0","$7,000,000","2008","20080320","competition-related offenses","Foreign Corrupt Practices Act","wire fraud","AB Volvo agreed to pay a $7 million penalty as part of an agreement with the U.S. Department of Justice regarding charges brought in connection with an ongoing investigation related to the United Nations Oil for Food program. The agreement came as the Justice Department filed criminal informations against AB Volvo subsidiaries Renault Trucks SAS and Volvo Construction Equipment AB charging that they engaged in separate conspiracies to commit wire fraud and to violate the books and records provisions of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","Sweden","","publicly traded","","SE0000115420","motor vehicles","motor vehicles","https://www.justice.gov/archive/opa/pr/2008/March/08_crm_220.html","",""
"ABB Ltd.","ABB Ltd.","ABB Ltd.","","$19,000,000","$0","$19,000,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","ABB Ltd, a Swiss corporation, and two of its subsidiaries have resolved charges related to violations of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","Switzerland","","publicly traded","ABB","CH0012221716","utilities and power generation","power systems","https://www.justice.gov/opa/pr/abb-ltd-and-two-subsidiaries-resolve-foreign-corrupt-practices-act-investigation-and-will-pay","",""
"ABB Vetco Gray Inc. and ABB Vetco Gray UK Ltd.","General Electric","ABB Vetco Gray","GE bought the business in 2007","$10,500,000","$0","$10,500,000","2004","20040706","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","ABB Vetco Gray Inc. and ABB Vetco Gray UK Ltd., U.S. and UK subsidiaries of Swiss company ABB Ltd., pleaded guilty to a criminal information charging each of the two companies with two counts of bribery in violation of the Foreign Corrupt Practices Act. ABB later sold the business, which eventually ended up as part of General Electric.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: GE","US3696041033","diversified","diversified","https://www.justice.gov/archive/opa/pr/2004/July/04_crm_465.htm","",""
"ABN AMRO Bank N.V. renamed the Royal Bank of Scotland N.V.","ABN AMRO","ABN Amro","","$500,000,000","$0","$500,000,000","2010","20100510","financial offenses","economic sanction violation","","The former ABN AMRO Bank N.V. agreed to forfeit $500 million in connection with an alleged conspiracy to violate the International Emergency Economic Powers Act and the Trading with the Enemy Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","Netherlands","","privately held","","","financial services","banking","https://www.justice.gov/opa/pr/former-abn-amro-bank-nv-agrees-forfeit-500-million-connection-conspiracy-defraud-united","",""
"Adelphia Communications Corporation","","Adelphia Communications","After Adelphia was embroiled in a corruption scandal it filed for bankruptcy and its assets were sold off.","$715,000,000","$0","$715,000,000","2005","20050425","financial offenses","accounting fraud or deficiencies","","Adelphia agreed to contribute $715 million to a victims compensation fund as part of a non-prosecution agreement signed by the company, whose principals were involved in a major accounting fraud case.","federal","agency action","Justice Department Criminal Division","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2005/April/05_usao_212.htm","",""
"Afghan International Trucking","","","","$3,360,000","$0","$3,360,000","2010","20100625","competition-related offenses","kickbacks and bribery","","Two Afghan trucking companies pleaded guilty to paying multiple bribes to U.S. public officials in exchange for unfair advantages in procuring contract work at the Bagram Airfield in Afghanistan.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/two-afghan-companies-plead-guilty-bribing-us-officials-and-agree-pay-44-million-fines","",""
"Afghan Trade Transportation","","","","$1,040,000","$0","$1,040,000","2010","20100625","competition-related offenses","kickbacks and bribery","","Two Afghan trucking companies pleaded guilty to paying multiple bribes to U.S. public officials in exchange for unfair advantages in procuring contract work at the Bagram Airfield in Afghanistan.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/two-afghan-companies-plead-guilty-bribing-us-officials-and-agree-pay-44-million-fines","",""
"AGA Medical Corporation","","","","$2,000,000","$0","$2,000,000","2008","20080603","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","AGA Medical Corporation, a medical device manufacturer, agreed to pay a $2 million criminal penalty in connection with corrupt payments to Chinese government officials in violation of the Foreign Corrupt Practices Act. ","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/June/08-crm-491.html","",""
"AGCO Corp.","AGCO Corp.","AGCO Corp.","","$1,600,000","$0","$1,600,000","2009","20090930","competition-related offenses","kickbacks and bribery","","AGCO Corp., a U.S. corporation based in Duluth, Ga., agreed to pay a $1.6 million penalty for illegal kickbacks paid to the former government of Iraq.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","USA","Georgia","publicly traded","AGCO","US0010841023","agribusiness","agricultural equipment","https://www.justice.gov/opa/pr/agco-corp-pay-16-million-connection-payments-former-iraqi-government-under-un-oil-food","",""
"Aibel Group Ltd.","","","","$4,200,000","$0","$4,200,000","2008","20081121","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","Aibel Group Ltd. pleaded guilty to violating the antibribery provisions of the Foreign Corrupt Practices Act. Aibel Group admitted that it was not in compliance with a deferred prosecution agreement it had entered into with the Justice Department in February 2007 regarding the same underlying conduct. ","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/November/08-crm-1041.html","",""
"Alcatel-Lucent S.A.","Nokia","Alcatel-Lucent","Alcatel merged with Lucent in 2006 to form Alcatel-Lucent. Alcatel-Lucent Enterprise was spun off in 2014 and Nokia acquired Alcatel-Lucent in 2016, with most of the company taking the Nokia name.","$92,000,000","$0","$92,000,000","2010","20101227","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","Alcatel-Lucent S.A. and three of its subsidiaries agreed to pay a combined $92 million penalty to resolve a Foreign Corrupt Practices Act investigation into the worldwide sales practices of Alcatel S.A. prior to its 2006 merger with Lucent Technologies Inc.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","Finland","","publicly traded","NOK","FI0009000681","telecommunications","telecommunications","https://www.justice.gov/opa/pr/alcatel-lucent-sa-and-three-subsidiaries-agree-pay-92-million-resolve-foreign-corrupt","",""
"Alcoa World Alumina LLC","Alcoa","Alcoa","","$223,000,000","$0","$223,000,000","2014","20140109","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","Alcoa World Alumina LLC, a majority-owned and controlled global alumina sales company of Alcoa Inc., agreed to plead guilty and pay $223 million in criminal fines and forfeiture to resolve charges that it paid millions of dollars in bribes through an international middleman in London to officials of the Kingdom of Bahrain, in violation of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","USA","New York","publicly traded","AA","US0138721065","metals","metals","https://www.justice.gov/opa/pr/alcoa-world-alumina-agrees-plead-guilty-foreign-bribery-and-pay-223-million-fines-and","",""
"Alfred C. Toepfer International Ukraine Ltd.","Archer Daniels Midland","Archer Daniels Midland","","$17,800,000","$0","$17,800,000","2013","20131220","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","A subsidiary of Archer Daniels Midland Company (ADM) pleaded guilty and agreed to pay more than $17 million in criminal fines to resolve charges that it paid bribes through vendors to Ukrainian government officials to obtain value-added tax (VAT) refunds, in violation of the Foreign Corrupt Practices Act. The Justice Department also entered into a non-prosecution agreement with ADM in connection with the company's failure to implement an adequate system of internal financial controls to address the making of improper payments both in Ukraine and by an ADM joint venture in Venezuela.","federal","agency action","Justice Department Criminal Division","criminal","plea & non-prosecution agreement","","","","","","","","","","","","","","USA","Illinois","publicly traded","ADM","US0394831020","agribusiness","agribusiness","https://www.justice.gov/opa/pr/adm-subsidiary-pleads-guilty-conspiracy-violate-foreign-corrupt-practices-act","",""
"Alliance One International Inc.","Pyxus International","Pyxus International","Alliance One changed its name to Pyxus in 2018.","$9,450,000","$0","$9,450,000","2010","20100806","competition-related offenses","Foreign Corrupt Practices Act","kickbacks and bribery","Two foreign subsidiaries of Alliance One International Inc., a global tobacco leaf merchant headquartered in Morrisville, N.C., pleaded guilty to violating various provisions of the Foreign Corrupt Practices Act. In addition, the Department of Justice and Alliance One entered into a non-prosecution agreement in which Alliance One agreed to cooperate with the ongoing investigation and to retain an independent compliance monitor for a minimum of three years to oversee the implementation of an anti-bribery and anti-corruption compliance program and to report periodically to the department.","federal","agency action","Justice Department Criminal Division","criminal","plea & non-prosecution agreement","","","","","","","","","","","","","","USA","North Carolina","publicly traded","PYYX","US74737V2051","tobacco","tobacco","https://www.justice.gov/opa/pr/alliance-one-international-inc-and-universal-corporation-resolve-related-fcpa-matters","",""
