"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"BDO Limited","BDO International","BDO International","","$10,000","$0","$10,000","2019","20191217","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","Belgium","","privately held","","","business services","accounting services","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-029-BDO-Limited.pdf","",""
"PricewaterhouseCoopers","PricewaterhouseCoopers","PricewaterhouseCoopers","","$10,000","$0","$10,000","2019","20191217","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","United Kingdom","","privately held","","","business services","accounting services","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-030-PricewaterhouseCoopers.pdf","",""
"PMB Helin Donovan, LLP","","","","$20,000","$0","$20,000","2019","20191217","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","","","","","","","","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-031-PMB.pdf","",""
"Deloitte Anjin LLC","Deloitte","Deloitte","","$350,000","$0","$350,000","2019","20191031","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","United Kingdom","","privately held","","","business services","accounting services","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-025-Deloitte-Anjin.pdf","",""
"Marcum Bernstein & Pinchuk LLP","","","","$50,000","$0","$50,000","2019","20190910","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","","","","","","","","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-023%20-%20MBP.pdf","",""
"Marcum LLP","","","","$450,000","$0","$450,000","2019","20190910","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","","","","","","","","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-022%20-%20Marcum.pdf","",""
"Gregory & Associates, LLC","","","","$15,000","$0","$15,000","2019","20190821","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","","","","","","","","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-018-Gregory.pdf","",""
"Thayer O'Neal Company, LLC","","","","$15,000","$0","$15,000","2019","20190821","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","","","","","","","","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-021-Thayer-ONeal.pdf","",""
"PricewaterhouseCoopers, S.C.","PricewaterhouseCoopers","PricewaterhouseCoopers","","$100,000","$0","$100,000","2019","20190801","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","United Kingdom","","privately held","","","business services","accounting services","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-017-PwC-Mexico.pdf","",""
"KPMG Audit Limited","KPMG","KPMG","","$250,000","$0","$250,000","2019","20190409","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Public Company Accounting Oversight Board","civil","","","","","","","","","","","","","","","Netherlands","","privately held","","","business services","accounting services","https://pcaobus.org/Enforcement/Decisions/Documents/105-2019-008-KPMG-Bermuda.pdf","",""
