"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Altima Inc.","","","","$5,000","$0","$5,000","2011","20110907","financial offenses","anti-money-laundering deficiencies","","civil money penalty","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","Marietta","Georgia","","","","","","","","","","","","https://www.fincen.gov/news_room/ea/files/Altima_Assessment.pdf","",""
"AmSouth","Regions Financial","AmSouth Bancorporation","Regions Financial and AmSouth merged 2006","$10,000,000","$0","$10,000,000","2004","20041012","financial offenses","anti-money-laundering deficiencies","banking violation","","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","Birmingham","Alabama","","","","","USA","Alabama","publicly traded","RF","US7591EP1005","financial services","banking & securities","https://www.fincen.gov/sites/default/files/news_release/20041012.pdf","",""
"Aurora Sunmart Inc.","","","","$75,000","$0","$75,000","2015","20150318","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced the assessment of a $75,000 civil money penalty against a Colorado money services business, Aurora Sunmart Inc., and its owner and general manager, Jamal Awad for violating the Bank Secrecy Act. ","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fincen.gov/news_room/nr/html/20150318.html","",""
"B.A.K. Precious Metals, Inc.","","","","$200,000","$0","$200,000","2015","20151230","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced the assessment of a $200,000 civil money penalty against a Los Angeles precious metals business, as well as its owner and compliance officer.","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","Los Angeles","California","","","","","","","","","","","","https://www.fincen.gov/news_room/nr/html/20151230.html","",""
"Baltic Financial Services, Inc.","","","","$12,000","$0","$12,000","2010","20101216","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced a $12,000 civil money penalty against Baltic Financial Services, Inc. of Montclair, New Jersey, for non-compliance with Bank Secrecy Act registration requirements applicable to money transmitters. ","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fincen.gov/news_room/nr/html/20101216.html","",""
"Bank of Mingo","","","","$1,000,000","$0","$1,000,000","2015","20150615","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced the assessment of a civil money penalty against Bank of Mingo for willfully violating the Bank Secrecy Act.","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","Williamson","West Virginia","","","","","","","","","","","","https://www.fincen.gov/news_room/nr/html/20150615.html","",""
"Bethex Federal Credit Union","","","","$500,000","$0","$500,000","2016","20161215","financial offenses","anti-money-laundering deficiencies","","","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fincen.gov/sites/default/files/enforcement_action/2016-12-15/Bethex%20Assessment_Final.pdf","",""
"BPI Inc.","","","","$125,000","$0","$125,000","2014","20140828","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network  imposed a civil money penalty against BPI, Inc., a New Jersey money services business, for willful and repeated violations of the Bank Secrecy Act. ","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","New Jersey","","","","","","","","","","","","https://www.fincen.gov/news_room/nr/html/20140828.html","",""
"CG Technology, L.P. dba Cantor Gaming","","","","$12,000,000","$0","$12,000,000","2016","20161003","financial offenses","anti-money-laundering deficiencies","","","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fincen.gov/news/news-releases/fincen-fines-cantor-gaming-12-million-egregious-and-systemic-violations-anti","",""
"Deprez?s Quality Jewelry and Loans, Inc.","","","","$25,000","$0","$25,000","2006","20060720","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced that Deprez?s Quality Jewelry and Loans, Inc. consented to the assessment of a civil money penalty in the amount of $25,000 for violations of the Bank Secrecy Act. ","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","Louisville","Kentucky","","","","","","","","","","","","https://www.fincen.gov/sites/default/files/news_release/20060720.pdf","",""
