"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Bank of America","Bank of America","Bank of America","","$10,350,000,000","$0","$10,350,000,000","2013","20130107","financial offenses","toxic securities abuses","","Bank of America announced a settlement with the Federal National Mortgage Association (Fannie Mae) to resolve outstanding and potential repurchase and certain other claims relating to the origination, sale and delivery of substantially all residential mortgage loans originated and sold directly to Fannie Mae from January 1, 2000 through December 31, 2008 by entities related to Countrywide Financial Corporation and Bank of America. As part of the agreement Bank of America agreed to make a cash payment to Fannie Mae of $3.6 billion and also repurchase for $6.75 billion certain residential mortgage loans sold to Fannie Mae.","federal","agency action","Fannie Mae","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://web.archive.org/web/20130112195950/https://newsroom.bankofamerica.com/press-release/corporate-and-financial-news/bank-america-announces-settlement-fannie-mae-resolve-agen","",""
"Bank of America","Bank of America","Bank of America","","$1,520,000,000","$0","$1,520,000,000","2011","20110103","financial offenses","toxic securities abuses","","Bank of America announced agreements with the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Federal National Mortgage Association (Fannie Mae) to resolve repurchase claims involving certain residential mortgage loans sold to them by entities related to Countrywide Financial Corporation.","federal","agency action","Fannie Mae","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://web.archive.org/web/20170911230410if_/http://investor.bankofamerica.com/phoenix.zhtml?c=71595&p=irol-newsArticle&ID=1511819#fbid=9VsCt4nuUTl","",""
"Bank of America","Bank of America","Bank of America","","$1,300,000,000","$0","$1,300,000,000","2011","20110103","financial offenses","toxic securities abuses","","Bank of America announced agreements with the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Federal National Mortgage Association (Fannie Mae) to resolve repurchase claims involving certain residential mortgage loans sold to them by entities related to Countrywide Financial Corporation.","federal","agency action","Freddie Mac","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","https://web.archive.org/web/20170911230410if_/http://investor.bankofamerica.com/phoenix.zhtml?c=71595&p=irol-newsArticle&ID=1511819#fbid=9VsCt4nuUTl","",""
"Bank of America","Bank of America","Bank of America","","$404,000,000","$0","$404,000,000","2013","20131202","financial offenses","toxic securities abuses","","Freddie Mac announced a settlement with Bank of America concerning Freddie Mac's claims related to representations and warranties on single-family loans sold to Freddie Mac.","federal","agency action","Freddie Mac","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","http://freddiemac.mwnewsroom.com/press-releases/freddie-mac-announces-settlement-with-bank-of-amer-otcqb-fmcc-1072721","",""
"Bank of America Corporation","Bank of America","Bank of America","","$9,300,000,000","$0","$9,300,000,000","2014","20140326","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement in cases involving Bank of America, Countrywide Financial, Merrill Lynch concerning alleged violations of federal and state securities laws in connection with private-label, residential mortgage-backed securities  purchased by Fannie Mae and Freddie Mac between 2005 and 2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","NYSE: BAC","US0605051046","financial services","banking","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$9-3-Billion-Settlement-With-Bank-of-America-Corporation.aspx","",""
"Barclays Bank PLC","Barclays","Barclays","","$280,000,000","$0","$280,000,000","2014","20140424","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Barclays Bank PLC resolving alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac during 2005-2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: BARC","GB0031348658","financial services","banking","http://www.fhfa.gov/Media/Pages/Statements.aspx","",""
"Citigroup","Citigroup","Citigroup","","$968,000,000","$0","$968,000,000","2013","20130701","financial offenses","toxic securities abuses","","Citigroup announced an agreement with Fannie Mae to resolve potential future repurchase claims for breaches of representations and warranties on 3.7 million residential first mortgage loans sold to Fannie Mae that were originated between 2000 and 2012. Citi agreed to pay Fannie Mae $968 million under the agreement.","federal","agency action","Fannie Mae","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","US1729674242","financial services","banking & securities","http://www.citigroup.com/citi/news/2013/130701a.htm","",""
"Citimortgage Inc. and Citibank N.A.","Citigroup","Citigroup","","$395,000,000","$0","$395,000,000","2013","20130925","financial offenses","toxic securities abuses","","Freddie Mac announced a settlement with Citimortgage and Citibank concerning representations and warranties on single-family loans sold to Freddie Mac.","federal","agency action","Freddie Mac","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","US1729674242","financial services","banking & securities","http://freddiemac.mwnewsroom.com/press-releases/freddie-mac-announces-settlements-totaling-more-th-otcqb-fmcc-1055926","",""
"Credit Suisse","UBS","Credit Suisse","UBS took over Credit Suisse in 2023","$885,000,000","$0","$885,000,000","2014","20140321","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Credit Suisse resolving alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac during 2005-2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","Switzerland","","publicly traded","NYSE: UBS","CH0244767585","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$885-Million-Settlement-With-Credit-Suisse.aspx","",""
"Deutsche Bank AG","Deutsche Bank","Deutsche Bank","","$1,925,000,000","$0","$1,925,000,000","2013","20131220","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Deutsche Bank AG resolving alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac between 2005 and 2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","Germany","","publicly traded","","DE0005140008","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$1-9-Billion-Settlement-With-Deutsche-Bank.aspx","",""
"First Horizon National Corporation","First Horizon National","First Horizon National","","$110,000,000","$0","$110,000,000","2014","20140429","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement for $110 million with First Horizon National Corporation resolving alleged violations of federal and District of Columbia securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac during 2005-2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","USA","Tennessee","publicly traded","FHN","US3205171057","financial services","banking","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$110-Million-Settlement-with-First-Horizon-National-Corporation.aspx","",""
"Goldman Sachs & Co.","Goldman Sachs","Goldman Sachs","","$3,150,000,000","$0","$3,150,000,000","2014","20140822","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Goldman Sachs concerning alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac between 2005 and 2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","US38141G1040","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-Settlement-with-Goldman-Sachs.aspx","",""
"HSBC North America Holdings Inc.","HSBC","HSBC","","$550,000,000","$0","$550,000,000","2014","20140912","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement of $550 million with HSBC North America Holdings Inc. resolving alleged violations of federal, Virginia and District of Columbia securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac during 2005-2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: HSBA","GB0005405286","financial services","banking","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-Settlement-with-HSBC.aspx","",""
"Morgan Stanley","Morgan Stanley","Morgan Stanley","","$1,250,000,000","$0","$1,250,000,000","2014","20140207","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Morgan Stanley resolving alleged violations of federal and state securities laws and common law fraud in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac between 2005 and 2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","MS","US6174464486","financial services","financial services","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$1-25-Billion-Settlement-With-Morgan-Stanley.aspx","",""
"RBS Securities Inc.","NatWest Group PLC","NatWest Group PLC","RBS Group changed its name to NatWest Group in 2020","$99,500,000","$0","$99,500,000","2014","20140619","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement for $99.5 million with RBS Securities, Inc. for alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Freddie Mac during 2005-2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","United Kingdom","","government-owned","LSE: NWG","GB00B7T77214","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-Settlement-with-RBS.aspx","",""
"Royal Bank of Scotland PLC","NatWest Group PLC","NatWest Group PLC","RBS Group changed its name to NatWest Group in 2020","$5,500,000,000","$0","$5,500,000,000","2017","20170712","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency, as conservator of Fannie Mae and Freddie Mac, reached a settlement with Royal Bank of Scotland Group plc, related companies and specifically named individuals for $5.5 billion. The settlement resolved all claims in the lawsuit, FHFA v. The Royal Bank of Scotland Group plc et al., Case No. 3:11-cv-1383 in the United States District Court for the District of Connecticut.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","United Kingdom","","government-owned","LSE: NWG","GB00B7T77214","financial services","banking & securities","https://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$5pt5-Billion-Settlement-with-Royal-Bank-of-Scotland.aspx","",""
"Societe Generale","Societe Generale","Societe Generale","","$122,000,000","$0","$122,000,000","2014","20140227","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Societe Generale resolving alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac during 2006.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","France","","publicly traded","","FR0000130809","financial services","banking","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$122-Million-Settlement-With-Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale.aspx","",""
"SunTrust Mortgage, Inc.","Truist Financial","SunTrust Banks","SunTrust Banks and BB&T merged and formed Truist Financial in 2019","$65,000,000","$0","$65,000,000","2013","20130930","financial offenses","toxic securities abuses","","Freddie Mac announced a settlement with SunTrust Mortgage concerning representations and warranties on single-family loans sold to Freddie Mac.","federal","agency action","Freddie Mac","civil","","","","","","","","","","","","","","","USA","North Carolina","publicly traded","TFC","US89832Q1094","financial services","banking","http://freddiemac.mwnewsroom.com/press-releases/freddie-mac-announces-settlements-totaling-more-th-otcqb-fmcc-1055926","",""
"UBS Americas Inc.","UBS","UBS","","$885,000,000","$0","$885,000,000","2013","20130725","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with UBS Americas, Inc. for $885 million resolving alleged violations of federal and state securities laws in connection with private-label residential mortgage-backed securities purchased by Fannie Mae and Freddie Mac.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","","","","Switzerland","","publicly traded","NYSE: UBS","CH0244767585","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-Settlement-with-UBS.aspx","",""
"Wells Fargo","Wells Fargo","Wells Fargo","","$591,000,000","$0","$591,000,000","2013","20131230","financial offenses","toxic securities abuses","","Fannie Mae reached a $591 million agreement with Wells Fargo to resolve repurchase requests on certain loans originated prior to 2009.","federal","agency action","Fannie Mae","civil","","","","","","","","","","","","","","","USA","California","publicly traded","WFC","US9497461015","financial services","banking","http://www.fanniemae.com/portal/about-us/media/corporate-news/2013/6059.html","",""
"Wells Fargo Bank, National Association","Wells Fargo","Wells Fargo","","$869,000,000","$0","$869,000,000","2013","20130927","financial offenses","toxic securities abuses","","Freddie Mac announced a settlement with Wells Fargo concerning representations and warranties on single-family loans sold to Freddie Mac.","federal","agency action","Freddie Mac","civil","","","","","","","","","","","","","","","USA","California","publicly traded","WFC","US9497461015","financial services","banking","http://freddiemac.mwnewsroom.com/press-releases/freddie-mac-announces-settlements-totaling-more-th-otcqb-fmcc-1055926","",""
