"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"6 Johnson Road Licenses, Inc.","","","","$50,000","$0","$50,000","2009","20090309","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","http://transition.fcc.gov/eb/Orders/2009/DA-09-559A1.html","",""
"ACC Licensee, Inc.","","","","$21,000","$0","$21,000","2010","20100929","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","http://transition.fcc.gov/eb/Orders/2010/DA-10-1722A1.html","",""
"Advanced Tel, Inc.","","","","$975,000","$0","$975,000","2017","20170608","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fcc.gov/document/fcc-fines-ati-975k-universal-service-and-other-violations","",""
"Advanced Tel","","","","$1,588,988","$0","$1,588,988","2015","20150126","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-331682A1.pdf","",""
"Advantage Telecommunications Corp.","","","","$1,000,000","$0","$1,000,000","2017","20170425","consumer-protection-related offenses","telecommunications violation","","The FCC issued a monetary forfeiture in the amount of $1,000,000 against Advantage Telecommunications Corp. for slamming consumers by changing their long distance carriers without proper authorization and cramming unauthorized charges onto their bills.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-342164A1.pdf","",""
"AFX Inc.","","","","$90,000","$0","$90,000","2017","20170523","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-17-471A1.pdf","",""
"Airadigm Communications, Inc. dba Airfire Mobile","","","","$260,000","$0","$260,000","2013","20130621","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-13-1346A1.pdf","",""
"AIT Inc. and Southern Telecom Inc.","","","","$260,000","$0","$260,000","2014","20141029","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-14-1454A1.pdf","",""
"AMFM Radio Licenses, L.L.C.","","","","$55,000","$0","$55,000","2003","20031002","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-239475A1.pdf","",""
"AMFM Radio Licenses, L.L.C.","","","","$10,000","$0","$10,000","2003","20031022","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-240190A1.pdf","",""
