"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"A Better Airfare, LLC","","","","$20,000","$0","$20,000","2003","20030116","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2003-1-12.pdf","",""
"A-Liner-8 Aviation, Inc.","","","","$50,000","$0","$50,000","2005","20050207","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2005-2-4.pdf","",""
"A-Liner-8 Aviation, Inc.","","","","$20,000","$0","$20,000","2010","20101220","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-12-23.pdf","",""
"AAA MidAtlantic Inc.","","","","$40,000","$0","$40,000","2013","20130829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2013-8-24.pdf","",""
"AAA Washington/Inland","","","","$10,000","$0","$10,000","2004","20040806","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2004-8-2.pdf","",""
"ACAAS Canada Ltd","","","","$20,000","$0","$20,000","2010","20101124","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-11-27.pdf","",""
"Aer Lingus Limited","International Airlines Group","Aer Lingus","International Airlines Group acquired Aer Lingus in 2015","$20,000","$0","$20,000","2004","20040506","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: IAG","ES0177542018","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/2004-5-9.pdf","",""
"Aero Continente, S.A.","","","","$20,000","$0","$20,000","2002","20020214","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2002-2-12.pdf","",""
"Aero ServicesExecutive, S.A.","","","","$20,000","$0","$20,000","2010","20100430","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-04-17.pdf","",""
"Aero Services Corporate, S.A.","","","","$10,000","$0","$10,000","2006","20060419","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2006-4-19.pdf","",""
"Aeroenlaces Nacionales, S.A. de CV","","","","$150,000","$0","$150,000","2016","20160505","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2016-5-3_0.pdf","",""
"Aerolineas Argentinas, S.A.","","","","$15,000","$0","$15,000","2002","20021211","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2002-12-12.pdf","",""
"Aerolineas Argentinas, S.A.","","","","$50,000","$0","$50,000","2012","20120829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-8-33.pdf","",""
"AeroSvit Airlines","","","","$20,000","$0","$20,000","2012","20121108","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-11-6.pdf","",""
"Aerovias de Intergracion Regional","","","","$20,000","$0","$20,000","2011","20110303","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-03-09.pdf","",""
"Aerovias de Mexico, S.A. de C.V.","","","","$60,000","$0","$60,000","2011","20110104","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-01-01.pdf","",""
"Aerovias del Continente Americano, S.A.","","","","$10,000","$0","$10,000","2006","20060624","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2006-6-18_0.pdf","",""
"AGS Partnership","","","","$65,000","$0","$65,000","2004","20040209","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2004-2-7.pdf","",""
"AHI International Corporation","","","","$45,000","$0","$45,000","2008","20080306","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2008-03-05.pdf","",""
"Air Ambulance Worldwide, Inc.","","","","$12,000","$0","$12,000","2009","20090623","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2009-06-18.pdf","",""
"Air Canada","Air Canada","Air Canada","","$10,000","$0","$10,000","2007","20070118","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","Canada","","publicly traded","","CA0089118776","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2007-01-10.pdf","",""
"Air Canada","Air Canada","Air Canada","","$225,000","$0","$225,000","2016","20160829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","Canada","","publicly traded","","CA0089118776","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2016-8-29.pdf","",""
"Air Canada","Air Canada","Air Canada","","$50,000","$0","$50,000","2011","20110804","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","Canada","","publicly traded","","CA0089118776","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-08-08.pdf","",""
"Air Canada rouge","Air Canada","Air Canada","","$90,000","$0","$90,000","2014","20141028","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","Canada","","publicly traded","","CA0089118776","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2014-10-23.pdf","",""
"Air Charters, Inc., d/b/a Air Flamenco","","","","$30,000","$0","$30,000","2011","20110812","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-08-16.pdf","",""
"Air China Limited","","","","$90,000","$0","$90,000","2013","20130502","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2013-5-3.pdf","",""
